gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
300747,锐科激光,5G概念,110.90,319.4亿,31939999999.999996,0.382,4.20,3.12万,72.52,38.35亿,3835000000.0,10.51亿,1051000000.0,27.84亿,2784000000.0,902.37,331.26,5.84亿,584000000.0,1.39亿,139000000.0,1.10亿,110000000.00000001,3.368,2.477,692.66,256.33
300782,卓胜微,5G概念,396.17,1321亿,132100000000.0,1.476,10.07,6.85万,67.10,66.10亿,6609999999.999999,4.87亿,487000000.0,61.24亿,6124000000.0,224.34,162.37,11.83亿,1183000000.0,5.72亿,572000000.0,4.92亿,492000000.0,13.00,11.40,674.8,491.86
688216,气派科技,5G概念,67.18,71.39亿,7139000000.0,0.190,3.64,3.12万,88.23,11.22亿,1122000000.0,5.56亿,556000000.0,5.66亿,566000000.0,1329.63,92.36,1.53亿,153000000.0,2430.92万,24309200.0,2022.93万,20229300.0,0.859,0.667,506.87,36.71
300671,富满电子,5G概念,149.20,305.8亿,30580000000.0,0.300,5.94,15.86万,124.25,18.31亿,1830999999.9999998,7.30亿,730000000.0,11.01亿,1101000000.0,831.50,164.36,2.66亿,266000000.0,6719.12万,67191200.0,6152.86万,61528600.0,2.337,1.856,501.45,101.17
300548,博创科技,5G概念,46.50,80.74亿,8073999999.999999,0.204,4.78,8.29万,56.89,16.98亿,1698000000.0,3.19亿,319000000.0,13.79亿,1379000000.0,1191.52,78.60,2.31亿,231000000.0,4249.85万,42498500.0,3548.04万,35480400.0,4.457,3.574,487.87,33.8
002913,奥士康,5G概念,111.00,176.3亿,17630000000.0,0.720,3.68,3.57万,40.54,52.97亿,5297000000.0,19.89亿,1989000000.0,33.08亿,3308000000.0,330.73,82.05,8.92亿,892000000.0,1.30亿,130000000.0,1.09亿,109000000.00000001,1.486,1.167,482.37,124.27
300593,新雷能,5G概念,46.48,123.1亿,12310000000.0,0.193,6.20,6.29万,60.13,18.32亿,1832000000.0,7.85亿,785000000.0,10.47亿,1047000000.0000001,1187.23,181.87,2.83亿,283000000.0,5701.22万,57012200.0,5118.26万,51182600.0,1.932,1.163,459.91,71.84
300410,正业科技,5G概念,11.29,41.68亿,4168000000.0,0.348,18.90,18.42万,8.10,20.48亿,2048000000.0,12.92亿,1292000000.0,7.56亿,756000000.0,485.26,41.79,4.12亿,412000000.0,1.44亿,144000000.0,1.29亿,129000000.0,1.128,0.864,340.7,32.04
002179,中航光电,5G概念,86.00,946.0亿,94600000000.0,0.568,6.20,13.07万,37.87,202.25亿,20225000000.0,88.81亿,8881000000.0,113.44亿,11344000000.0,281.43,88.14,33.86亿,3386000000.0,7.43亿,743000000.0,6.24亿,624000000.0,2.017,1.649,324.53,104.96
603678,火炬电子,5G概念,84.10,386.7亿,38670000000.0,0.561,6.41,8.68万,37.45,61.54亿,6154000000.0,18.98亿,1898000000.0,42.56亿,4256000000.0,276.68,90.68,11.53亿,1153000000.0,3.16亿,316000000.0,2.58亿,258000000.0,3.167,2.457,315.2,106.51
300726,宏达电子,5G概念,79.14,316.6亿,31660000000.000004,0.427,7.77,5.30万,46.31,30.91亿,3091000000.0,7.01亿,701000000.0,23.89亿,2389000000.0,314.80,162.29,3.79亿,379000000.0,2.10亿,210000000.0,1.71亿,171000000.0,4.758,3.422,272.47,142.23
600143,金发科技,5G概念,20.07,516.5亿,51650000000.0,0.297,5.02,70.28万,16.89,356.97亿,35697000000.0,199.24亿,19924000000.0,157.73亿,15772999999.999998,438.79,63.60,90.57亿,9057000000.0,8.94亿,894000000.0,7.65亿,765000000.0,1.712,1.213,263.17,40.3
603186,华正新材,5G概念,43.55,61.86亿,6186000000.0,0.450,4.26,5.90万,24.41,38.25亿,3825000000.0,22.94亿,2294000000.0,15.31亿,1531000000.0,259.28,86.91,7.70亿,770000000.0,7173.60万,71736000.0,6335.10万,63351000.0,1.092,0.914,237.18,82.04
300679,电连技术,5G概念,36.46,153.6亿,15360000000.0,0.243,2.83,12.69万,37.45,49.26亿,4926000000.0,11.59亿,1159000000.0,37.67亿,3767000000.0,479.04,77.05,8.16亿,816000000.0,1.22亿,122000000.0,1.03亿,103000000.0,3.738,3.289,234.88,39.51
000063,中兴通讯,5G概念,40.75,1887亿,188700000000.0,0.471,4.90,178.37万,21.63,1555.52亿,155552000000.0,1070.50亿,107050000000.0,485.02亿,48502000000.0,179.70,22.14,262.42亿,26242000000.0,25.34亿,2534000000.0,21.82亿,2182000000.0,1.478,1.031,173.28,24.86
000049,德赛电池,5G概念,42.46,127.6亿,12760000000.0,0.449,4.66,9.50万,23.64,78.72亿,7872000000.0,49.11亿,4911000000.0,29.61亿,2961000000.0,185.38,33.28,38.43亿,3843000000.0,1.68亿,168000000.0,1.35亿,135000000.0,1.385,1.013,170.29,33.7
300101,振芯科技,5G概念,30.44,169.7亿,16969999999.999998,0.142,7.52,73.66万,106.98,20.15亿,2014999999.9999998,7.23亿,723000000.0,12.92亿,1292000000.0,586.81,111.60,3.60亿,360000000.0,9520.60万,95206000.0,7929.52万,79295200.0,2.605,1.671,167.86,32.9
300395,菲利华,5G概念,55.58,187.8亿,18780000000.0,0.222,3.51,8.74万,62.60,27.07亿,2707000000.0,4.46亿,446000000.0,22.61亿,2261000000.0,365.04,143.76,2.62亿,262000000.0,8836.18万,88361800.0,7501.29万,75012900.0,4.813,4.261,163.96,65.72
601677,明泰铝业,5G概念,30.51,208.2亿,20820000000.0,0.474,3.65,14.72万,16.10,133.79亿,13379000000.0,38.81亿,3881000000.0,94.98亿,9498000000.0,167.09,60.99,48.87亿,4887000000.0,3.89亿,389000000.0,3.23亿,323000000.0,3.386,2.405,162.43,61.85
300283,温州宏丰,5G概念,7.43,32.48亿,3247999999.9999995,0.080,4.22,57.82万,49.30,19.63亿,1963000000.0,11.62亿,1162000000.0,8.01亿,801000000.0,907.89,80.50,11.90亿,1190000000.0,3673.05万,36730500.0,3293.72万,32937199.999999996,1.006,0.533,145.94,13.56
002975,博杰股份,5G概念,69.29,96.79亿,9679000000.0,0.578,5.81,1.09万,29.96,17.50亿,1750000000.0,3.02亿,302000000.0,14.48亿,1448000000.0,108.12,77.29,3.26亿,326000000.0,9230.31万,92303100.0,8077.72万,80777200.0,5.023,4.382,129.9,94.26
300083,创世纪,5G概念,10.95,167.1亿,16710000000.0,0.090,5.24,56.86万,31.11,96.75亿,9675000000.0,70.15亿,7015000000.000001,26.61亿,2661000000.0,654.47,125.34,11.41亿,1141000000.0,1.60亿,160000000.0,1.34亿,134000000.00000001,1.168,0.863,118.57,23.33
600562,国睿科技,5G概念,13.91,172.7亿,17270000000.0,0.060,1.72,8.09万,57.55,83.57亿,8356999999.999999,39.60亿,3960000000.0,43.97亿,4397000000.0,973.23,227.14,8.34亿,834000000.0,9661.76万,96617600.0,7504.00万,75040000.0,1.854,1.253,117.3,27.77
