股票代码,股票名称,最新价,成交量-手,市盈率-动态
000004,国华网安,21.12,6.54万,191.59
000049,德赛电池,41.46,6.84万,23.09
000063,中兴通讯,35.50,118.41万,18.87
000066,中国长城,16.19,101.90万,-74.93
000070,特发信息,7.32,14.17万,131.11
000547,航天发展,22.43,40.08万,47.96
000630,铜陵有色,3.76,278.86万,25.83
000636,风华高科,32.93,36.29万,39.59
000801,四川九洲,8.15,17.97万,76.11
000818,航锦科技,33.79,13.46万,27.18
000823,超声电子,11.70,12.25万,20.86
000836,富通信息,2.34,8.36万,-13.33
000881,中广核技,10.07,5.94万,101.74
000889,中嘉博创,3.41,10.79万,51.97
000909,数源科技,6.82,2.11万,147.09
000917,电广传媒,5.90,18.36万,110.50
000938,紫光股份,25.56,127.29万,66.41
000969,安泰科技,10.67,58.94万,47.11
000988,华工科技,30.49,24.98万,43.90
002017,东信和平,10.32,5.97万,170.76
002023,海特高新,16.06,46.59万,8.93
002025,航天电器,63.66,5.76万,57.44
002049,紫光国微,191.84,8.04万,89.90
002056,横店东磁,16.12,59.82万,24.00
002079,苏州固锝,13.73,38.66万,55.01
002080,中材科技,28.33,37.55万,20.47
002089,ST新海,2.67,12.53万,-137.44
002090,金智科技,10.03,11.57万,34.09
002093,国脉科技,5.75,3.67万,118.78
002101,广东鸿图,8.52,20.20万,17.14
002115,三维通信,5.21,7.94万,49.36
002123,梦网科技,23.20,22.97万,99.55
002137,实益达,6.17,28.13万,68.36
002138,顺络电子,37.90,13.54万,37.19
002149,西部材料,20.92,63.19万,83.07
002151,北斗星通,45.97,15.82万,139.35
002179,中航光电,94.40,8.60万,41.57
002182,云海金属,14.52,31.29万,31.11
002185,华天科技,12.95,117.66万,31.47
002194,武汉凡谷,13.84,14.82万,30.61
002201,九鼎新材,26.05,37.49万,262.40
002217,合力泰,3.65,33.49万,26.66
002231,奥维通信,5.88,4.69万,44.74
002238,天威视讯,5.87,2.18万,49.50
002268,卫 士 通,32.79,38.71万,-91.04
002276,万马股份,7.71,30.29万,65.42
002281,光迅科技,26.92,23.62万,35.65
002288,超华科技,8.51,63.41万,53.88
002308,威创股份,3.80,4.99万,-105.78
002309,中利集团,6.52,36.23万,36.01
002313,日海智能,11.87,2.95万,393.52
002316,亚联发展,4.62,6.45万,-26.42
