gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
603050,科林电气,充电桩,15.79,25.61亿,2561000000.0,0.090,1.16,21.45万,45.23,30.35亿,3035000000.0,17.87亿,1787000000.0,12.48亿,1248000000.0,40100.0,74.88,2.23亿,223000000.0,1718.04万,17180400.0,1415.58万,14155800.0,1.594,1.127,7218.76,14.24
002870,香山股份,充电桩,33.70,37.30亿,3729999999.9999995,0.330,4.48,1.41万,25.25,63.74亿,6374000000.0,45.97亿,4597000000.0,17.77亿,1777000000.0,728.51,761.25,11.79亿,1179000000.0,7137.53万,71375300.0,3692.21万,36922100.0,0.879,0.636,483.62,505.23
600089,特变电工,充电桩,15.27,567.2亿,56720000000.00001,0.571,5.48,162.25万,6.69,1104.56亿,110456000000.0,620.78亿,62078000000.0,483.77亿,48377000000.0,414.62,19.68,94.55亿,9455000000.0,27.17亿,2717000000.0,21.19亿,2119000000.0000002,1.362,1.171,478.35,27.33
605111,新洁能,充电桩,172.70,244.7亿,24470000000.0,0.530,6.27,8.55万,81.40,14.87亿,1487000000.0,2.52亿,252000000.0,12.35亿,1235000000.0,207.88,85.78,3.17亿,317000000.0,8668.71万,86687099.99999999,7514.39万,75143900.0,,,224.86,95.43
000063,中兴通讯,充电桩,40.75,1887亿,188700000000.0,0.471,4.90,178.37万,21.63,1555.52亿,155552000000.0,1070.50亿,107050000000.0,485.02亿,48502000000.0,179.70,22.14,262.42亿,26242000000.0,25.34亿,2534000000.0,21.82亿,2182000000.0,1.478,1.031,173.28,24.86
002028,思源电气,充电桩,28.31,216.1亿,21610000000.0,0.367,4.20,25.00万,18.97,108.71亿,10871000000.0,38.39亿,3839000000.0,70.32亿,7031999999.999999,217.99,109.49,18.12亿,1812000000.0,3.53亿,353000000.0,2.80亿,280000000.0,2.100,1.581,163.12,83.49
601677,明泰铝业,充电桩,30.51,208.2亿,20820000000.0,0.474,3.65,14.72万,16.10,133.79亿,13379000000.0,38.81亿,3881000000.0,94.98亿,9498000000.0,167.09,60.99,48.87亿,4887000000.0,3.89亿,389000000.0,3.23亿,323000000.0,3.386,2.405,162.43,61.85
688390,固德威,充电桩,565.00,497.2亿,49720000000.0,0.790,4.69,2.25万,177.75,27.25亿,2725000000.0,11.98亿,1198000000.0,15.26亿,1526000000.0,86.40,99.57,4.45亿,445000000.0,8136.07万,81360700.0,6992.80万,69928000.0,2.011,1.618,143.23,164.04
300916,朗特智能,充电桩,61.73,39.43亿,3943000000.0,0.517,3.89,8145,29.83,10.99亿,1099000000.0,2.33亿,233000000.0,8.67亿,867000000.0,116.91,109.09,2.04亿,204000000.0,3845.60万,38456000.0,3304.25万,33042500.0,4.793,4.247,125.28,117.19
300373,扬杰科技,充电桩,59.13,303.0亿,30300000000.0,0.310,3.92,35.75万,48.71,60.61亿,6061000000.0,13.86亿,1386000000.0,46.76亿,4676000000.0,179.70,93.37,9.42亿,942000000.0,1.89亿,189000000.0,1.55亿,155000000.0,3.025,2.579,114.05,60.52
300014,亿纬锂能,充电桩,114.00,2153亿,215300000000.0,0.343,4.55,43.16万,83.21,290.61亿,29061000000.0,116.12亿,11612000000.0,174.49亿,17449000000.0,156.22,125.98,29.58亿,2958000000.0,7.94亿,794000000.0,6.47亿,647000000.0,1.354,1.115,110.08,89.34
002882,金龙羽,充电桩,8.79,38.05亿,3804999999.9999995,0.088,1.93,1.86万,25.04,25.93亿,2593000000.0,6.06亿,606000000.0,19.86亿,1986000000.0,564.74,70.02,6.74亿,674000000.0,4603.47万,46034700.0,3799.24万,37992400.0,3.631,2.380,100.14,13.07
002335,科华数据,充电桩,28.96,133.7亿,13369999999.999998,0.210,2.91,5.22万,34.99,90.10亿,9010000000.0,54.21亿,5421000000.0,35.89亿,3589000000.0,228.44,42.26,9.70亿,969999999.9999999,1.10亿,110000000.00000001,9550.53万,95505300.0,1.270,1.084,97.73,19.53
002518,科士达,充电桩,29.78,173.5亿,17350000000.0,0.150,3.01,58.21万,50.55,42.14亿,4214000000.0,13.15亿,1315000000.0,28.99亿,2899000000.0,316.62,95.70,4.73亿,473000000.00000006,1.04亿,104000000.0,8578.02万,85780200.0,2.495,2.088,96.26,29.98
