股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
688390,固德威,565.00,497.2亿,0.790,27.25亿,11.98亿,15.26亿,86.40,99.57,4.45亿,8136.07万,6992.80万,4.69,2.25万,177.75,2.011,1.618
600089,特变电工,15.27,567.2亿,0.571,1104.56亿,620.78亿,483.77亿,414.62,19.68,94.55亿,27.17亿,21.19亿,5.48,162.25万,6.69,1.362,1.171
605111,新洁能,172.70,244.7亿,0.530,14.87亿,2.52亿,12.35亿,207.88,85.78,3.17亿,8668.71万,7514.39万,6.27,8.55万,81.40,,
300916,朗特智能,61.73,39.43亿,0.517,10.99亿,2.33亿,8.67亿,116.91,109.09,2.04亿,3845.60万,3304.25万,3.89,8145,29.83,4.793,4.247
601677,明泰铝业,30.51,208.2亿,0.474,133.79亿,38.81亿,94.98亿,167.09,60.99,48.87亿,3.89亿,3.23亿,3.65,14.72万,16.10,3.386,2.405
000063,中兴通讯,40.75,1887亿,0.471,1555.52亿,1070.50亿,485.02亿,179.70,22.14,262.42亿,25.34亿,21.82亿,4.90,178.37万,21.63,1.478,1.031
300286,安科瑞,20.38,43.78亿,0.460,12.90亿,4.43亿,8.47亿,38.64,52.18,4.73亿,1.04亿,9328.49万,10.87,16.39万,23.46,2.140,1.526
601512,中新集团,8.73,130.9亿,0.440,268.43亿,110.52亿,157.92亿,-8.89,2.03,13.93亿,9.90亿,6.56亿,5.77,6.00万,4.98,2.310,0.890
002768,国恩股份,23.83,64.64亿,0.410,56.80亿,23.57亿,33.23亿,8.32,31.45,15.17亿,1.24亿,1.10亿,3.50,3.20万,14.64,2.124,1.296
002028,思源电气,28.31,216.1亿,0.367,108.71亿,38.39亿,70.32亿,217.99,109.49,18.12亿,3.53亿,2.80亿,4.20,25.00万,18.97,2.100,1.581
300222,科大智能,14.78,107.0亿,0.360,59.81亿,40.42亿,19.39亿,-,32.23,4.01亿,2.69亿,2.63亿,15.50,131.50万,10.19,1.258,0.903
605222,起帆电缆,20.86,83.56亿,0.350,67.15亿,37.96亿,29.19亿,132.30,112.73,28.53亿,1.92亿,1.42亿,5.00,3.13万,14.70,,
300014,亿纬锂能,114.00,2153亿,0.343,290.61亿,116.12亿,174.49亿,156.22,125.98,29.58亿,7.94亿,6.47亿,4.55,43.16万,83.21,1.354,1.115
688100,威胜信息,26.05,130.3亿,0.330,33.19亿,9.09亿,24.10亿,22.25,26.68,8.51亿,1.95亿,1.67亿,6.92,2.82万,38.90,3.190,2.956
002870,香山股份,33.70,37.30亿,0.330,63.74亿,45.97亿,17.77亿,728.51,761.25,11.79亿,7137.53万,3692.21万,4.48,1.41万,25.25,0.879,0.636
300373,扬杰科技,59.13,303.0亿,0.310,60.61亿,13.86亿,46.76亿,179.70,93.37,9.42亿,1.89亿,1.55亿,3.92,35.75万,48.71,3.025,2.579
300820,英杰电气,80.20,76.45亿,0.297,15.45亿,4.57亿,10.88亿,44.88,24.72,1.13亿,3277.85万,2834.20万,2.64,3.03万,67.44,3.239,2.396
603989,艾华集团,35.01,139.9亿,0.282,43.85亿,15.45亿,28.40亿,83.53,58.10,6.74亿,1.34亿,1.13亿,4.24,4.04万,31.01,3.073,2.472
