gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
601211,国泰君安,券商,16.59,1478亿,147800000000.0,0.495,3.33,64.21万,9.22,6734.47亿,673447000000.0,5282.54亿,528254000000.0,1451.92亿,145192000000.0,141.57,78.09,109.43亿,10943000000.0,55.41亿,5541000000.0,44.11亿,4411000000.0,,,144.36,81.52
601377,兴业证券,券商,9.55,639.5亿,63950000000.0,0.178,3.12,257.45万,13.38,1940.33亿,194033000000.0,1517.34亿,151734000000.0,422.99亿,42299000000.0,340.56,52.50,55.05亿,5505000000.0,20.57亿,2057000000.0,11.95亿,1195000000.0,,,122.75,20.2
601995,中金公司,券商,54.74,2642亿,264200000000.0,0.374,2.67,33.07万,35.22,5767.39亿,576739000000.0,5014.89亿,501489000000.00006,752.51亿,75251000000.0,46.90,24.37,59.33亿,5933000000.0,22.87亿,2287000000.0,18.76亿,1876000000.0000002,,,38.26,21.41
600837,海通证券,券商,11.35,1483亿,148300000000.0,0.280,2.34,85.17万,9.15,7035.71亿,703571000000.0,5319.63亿,531963000000.0,1716.08亿,171608000000.0,58.48,60.20,111.92亿,11192000000.0,52.14亿,5214000000.0,36.18亿,3618000000.0,,,35.13,36.09
601108,财通证券,券商,10.02,359.6亿,35960000000.0,0.124,1.85,49.97万,20.12,955.54亿,95554000000.0,721.69亿,72169000000.0,233.85亿,23385000000.0,130.69,49.28,13.31亿,1331000000.0,5.22亿,522000000.0,4.47亿,447000000.0,,,33.47,13.28
601901,方正证券,券商,8.62,709.6亿,70960000000.0,0.110,2.22,103.96万,27.28,1383.85亿,138385000000.0,973.03亿,97303000000.0,410.81亿,41081000000.0,134.53,5.83,20.49亿,2048999999.9999998,11.19亿,1119000000.0,8.89亿,889000000.0,,,30.53,2.22
600999,招商证券,券商,17.10,1487亿,148700000000.0,0.280,2.63,44.93万,14.23,5319.67亿,531967000000.0,4240.27亿,424027000000.00006,1079.39亿,107939000000.00002,45.34,22.02,59.62亿,5962000000.0,31.09亿,3109000000.0,26.13亿,2613000000.0,,,27.77,14.71
600030,中信证券,券商,23.27,3008亿,300800000000.0,0.400,2.81,147.75万,12.33,1.15万亿,1150000000000.0,9587.19亿,958719000000.0,1899.15亿,189915000000.0,26.73,27.58,163.97亿,16397000000.0,68.42亿,6842000000.0,51.65亿,5165000000.0,,,24.78,25.46
600061,国投资本,券商,7.63,490.2亿,49020000000.0,0.168,2.45,28.37万,11.37,2366.30亿,236630000000.00003,1851.86亿,185186000000.0,514.43亿,51442999999.99999,69.49,18.37,35.80亿,3579999999.9999995,16.19亿,1619000000.0000002,10.77亿,1077000000.0,1.326,1.324,24.78,7.6
000776,广发证券,券商,16.70,1273亿,127300000000.0,0.330,2.56,208.41万,12.52,4992.80亿,499280000000.0,3945.97亿,394597000000.0,1046.83亿,104683000000.0,22.71,54.44,83.21亿,8320999999.999999,35.36亿,3536000000.0,25.41亿,2541000000.0,,,17.79,38.74
000783,长江证券,券商,7.05,389.9亿,38990000000.0,0.127,2.47,48.21万,13.90,1452.05亿,145205000000.0,1153.20亿,115320000000.0,298.86亿,29886000000.0,64.53,43.91,19.66亿,1966000000.0,9.37亿,936999999.9999999,7.01亿,701000000.0,,,17.47,12.23
600958,东方证券,券商,12.01,839.9亿,83990000000.0,0.160,2.03,167.70万,15.55,3085.75亿,308575000000.0,2472.18亿,247217999999.99997,613.57亿,61357000000.00001,44.67,35.68,51.93亿,5193000000.0,14.39亿,1439000000.0,11.76亿,1176000000.0,,,15.65,12.78
601688,华泰证券,券商,14.91,1353亿,135300000000.0,0.370,2.54,91.08万,10.22,7446.01亿,744601000000.0,6092.83亿,609283000000.0,1353.18亿,135318000000.0,14.58,28.02,87.88亿,8788000000.0,42.04亿,4204000000.0,33.09亿,3309000000.0000005,,,13.93,23.88
601878,浙商证券,券商,11.47,444.8亿,44480000000.0,0.109,2.15,57.32万,25.25,1053.31亿,105331000000.0,855.58亿,85558000000.0,197.73亿,19773000000.0,31.88,73.05,32.61亿,3261000000.0,5.62亿,562000000.0,4.21亿,421000000.0,,,7.88,16.85
002736,国信证券,券商,10.84,1042亿,104200000000.0,0.160,2.20,28.68万,15.46,3177.95亿,317795000000.0,2352.13亿,235213000000.0,825.82亿,82582000000.0,18.33,3.28,42.52亿,4252000000.0000005,21.15亿,2114999999.9999998,16.85亿,1685000000.0000002,,,7.23,2.41
601881,中国银河,券商,9.83,996.5亿,99650000000.0,0.200,2.57,32.51万,12.55,4583.63亿,458363000000.0,3695.13亿,369513000000.0,888.49亿,88849000000.0,13.20,35.65,75.80亿,7580000000.0,24.93亿,2493000000.0,19.85亿,1985000000.0000002,,,6.98,15.96
