股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
601211,国泰君安,16.59,1478亿,0.495,6734.47亿,5282.54亿,1451.92亿,141.57,78.09,109.43亿,55.41亿,44.11亿,3.33,64.21万,9.22,,
600030,中信证券,23.27,3008亿,0.400,1.15万亿,9587.19亿,1899.15亿,26.73,27.58,163.97亿,68.42亿,51.65亿,2.81,147.75万,12.33,,
601995,中金公司,54.74,2642亿,0.374,5767.39亿,5014.89亿,752.51亿,46.90,24.37,59.33亿,22.87亿,18.76亿,2.67,33.07万,35.22,,
601688,华泰证券,14.91,1353亿,0.370,7446.01亿,6092.83亿,1353.18亿,14.58,28.02,87.88亿,42.04亿,33.09亿,2.54,91.08万,10.22,,
000776,广发证券,16.70,1273亿,0.330,4992.80亿,3945.97亿,1046.83亿,22.71,54.44,83.21亿,35.36亿,25.41亿,2.56,208.41万,12.52,,
600837,海通证券,11.35,1483亿,0.280,7035.71亿,5319.63亿,1716.08亿,58.48,60.20,111.92亿,52.14亿,36.18亿,2.34,85.17万,9.15,,
600999,招商证券,17.10,1487亿,0.280,5319.67亿,4240.27亿,1079.39亿,45.34,22.02,59.62亿,31.09亿,26.13亿,2.63,44.93万,14.23,,
601066,中信建投,27.23,2112亿,0.210,3903.38亿,3207.61亿,695.76亿,-11.74,9.63,48.04亿,20.48亿,17.22亿,2.77,36.68万,23.32,,
601881,中国银河,9.83,996.5亿,0.200,4583.63亿,3695.13亿,888.49亿,13.20,35.65,75.80亿,24.93亿,19.85亿,2.57,32.51万,12.55,,
601377,兴业证券,9.55,639.5亿,0.178,1940.33亿,1517.34亿,422.99亿,340.56,52.50,55.05亿,20.57亿,11.95亿,3.12,257.45万,13.38,,
600061,国投资本,7.63,490.2亿,0.168,2366.30亿,1851.86亿,514.43亿,69.49,18.37,35.80亿,16.19亿,10.77亿,2.45,28.37万,11.37,1.326,1.324
600958,东方证券,12.01,839.9亿,0.160,3085.75亿,2472.18亿,613.57亿,44.67,35.68,51.93亿,14.39亿,11.76亿,2.03,167.70万,15.55,,
002736,国信证券,10.84,1042亿,0.160,3177.95亿,2352.13亿,825.82亿,18.33,3.28,42.52亿,21.15亿,16.85亿,2.20,28.68万,15.46,,
600109,国金证券,11.15,337.2亿,0.158,689.91亿,460.55亿,229.36亿,0.08,8.72,15.13亿,6.40亿,4.77亿,2.10,62.10万,17.69,,
601788,光大证券,15.71,724.4亿,0.150,2365.93亿,1828.45亿,537.49亿,-36.88,18.06,33.27亿,9.36亿,6.97亿,1.33,61.72万,16.01,,
000686,东北证券,7.96,186.3亿,0.140,732.94亿,555.52亿,177.43亿,1.39,-28.20,12.97亿,4.25亿,3.38亿,2.01,22.55万,13.23,,
000783,长江证券,7.05,389.9亿,0.127,1452.05亿,1153.20亿,298.86亿,64.53,43.91,19.66亿,9.37亿,7.01亿,2.47,48.21万,13.90,,
601108,财通证券,10.02,359.6亿,0.124,955.54亿,721.69亿,233.85亿,130.69,49.28,13.31亿,5.22亿,4.47亿,1.85,49.97万,20.12,,
002926,华西证券,8.99,236.0亿,0.120,778.09亿,561.53亿,216.56亿,-14.42,4.43,9.56亿,4.26亿,3.21亿,1.49,24.27万,12.69,,
601901,方正证券,8.62,709.6亿,0.110,1383.85亿,973.03亿,410.81亿,134.53,5.83,20.49亿,11.19亿,8.89亿,2.22,103.96万,27.28,,
601555,东吴证券,8.14,315.9亿,0.110,1076.17亿,793.75亿,282.43亿,14.08,39.39,17.36亿,5.67亿,4.24亿,1.51,37.48万,18.63,,
601878,浙商证券,11.47,444.8亿,0.109,1053.31亿,855.58亿,197.73亿,31.88,73.05,32.61亿,5.62亿,4.21亿,2.15,57.32万,25.25,,
000166,申万宏源,4.38,1097亿,0.100,4999.76亿,4077.25亿,922.51亿,22.33,12.39,86.51亿,29.48亿,24.31亿,2.72,71.68万,11.28,,
600918,中泰证券,9.48,660.6亿,0.100,1818.75亿,1468.28亿,350.47亿,-11.32,1.35,24.49亿,8.34亿,6.66亿,1.98,142.21万,24.79,,
002939,长城证券,9.48,294.2亿,0.098,807.83亿,619.35亿,188.48亿,-17.69,-2.04,14.17亿,3.37亿,3.04亿,1.67,19.11万,17.65,,
601198,东兴证券,10.49,289.3亿,0.090,883.45亿,669.80亿,213.65亿,-19.01,0.71,8.86亿,2.87亿,2.50亿,1.18,16.77万,28.87,,
601696,中银证券,15.30,425.0亿,0.090,579.03亿,426.36亿,152.67亿,-19.64,-11.82,7.26亿,3.28亿,2.61亿,1.73,34.22万,40.64,,
600155,华创阳安,9.61,167.2亿,0.080,489.70亿,339.85亿,149.85亿,4.84,-12.78,6.55亿,1.89亿,1.37亿,0.90,19.16万,30.59,1.755,1.755
000728,国元证券,7.31,319.0亿,0.080,990.78亿,678.78亿,312.00亿,18.01,1.32,9.22亿,4.02亿,3.34亿,1.08,32.54万,18.85,,
002945,华林证券,12.31,332.4亿,0.070,323.59亿,261.63亿,61.96亿,10.64,15.36,3.62亿,2.10亿,1.84亿,3.01,14.93万,45.14,,
600621,华鑫股份,16.33,173.2亿,0.070,282.36亿,211.36亿,71.00亿,-19.28,7.63,4.48亿,1.08亿,7886.51万,1.14,42.08万,54.92,1.500,1.500
601456,国联证券,12.93,307.5亿,0.070,530.56亿,423.09亿,107.47亿,-31.40,-4.95,4.71亿,2.07亿,1.57亿,1.47,26.02万,48.87,,
600906,财达证券,14.62,474.4亿,0.065,399.42亿,308.03亿,91.39亿,4.28,-16.76,4.99亿,2.80亿,2.10亿,2.33,100.19万,56.43,,
601236,红塔证券,-,485.4亿,0.060,375.34亿,225.88亿,149.45亿,-51.69,45.20,16.58亿,3.14亿,2.34亿,1.60,-,51.87,,
002673,西部证券,7.59,339.2亿,0.060,642.88亿,379.30亿,263.59亿,2.97,36.37,12.55亿,3.52亿,2.61亿,1.00,33.75万,32.46,,
601990,南京证券,10.84,399.6亿,0.050,458.94亿,298.11亿,160.83亿,-23.46,-14.71,4.93亿,2.28亿,1.77亿,1.11,126.01万,56.54,,
000563,陕国投Ａ,3.10,122.9亿,0.044,159.01亿,39.33亿,119.68亿,-17.86,-14.94,3.48亿,2.31亿,1.73亿,1.45,18.81万,13.99,,
600095,湘财股份,10.18,290.6亿,0.044,363.10亿,255.41亿,107.69亿,7.03,83.64,10.53亿,1.78亿,1.25亿,1.16,49.75万,58.34,1.233,1.232
600369,西南证券,4.61,306.3亿,0.040,836.99亿,585.00亿,251.99亿,21.51,31.65,7.50亿,2.92亿,2.46亿,0.98,42.43万,31.09,,
002500,山西证券,6.38,229.0亿,0.038,751.60亿,576.03亿,175.57亿,-38.48,-39.26,5.21亿,1.52亿,1.35亿,0.80,21.65万,42.42,,
600909,华安证券,5.18,243.3亿,0.038,595.60亿,445.98亿,149.63亿,-44.19,-25.19,6.16亿,2.26亿,1.78亿,1.21,33.29万,34.26,,
000750,国海证券,3.98,216.7亿,0.030,791.74亿,599.77亿,191.97亿,-42.08,4.01,10.69亿,2.75亿,1.74亿,0.94,59.76万,31.13,,
601375,XD中原证,4.52,209.9亿,0.030,538.29亿,395.18亿,143.11亿,-,146.45,10.76亿,1.56亿,1.21亿,0.90,106.35万,43.37,,
002670,国盛金控,9.52,184.2亿,0.015,310.15亿,196.89亿,113.26亿,-,-3.73,5.20亿,7091.09万,2842.79万,0.25,31.54万,162.01,,
601162,天风证券,4.36,377.8亿,0.010,830.99亿,606.77亿,224.22亿,10.51,-19.36,6.77亿,1.39亿,8895.89万,0.51,76.15万,106.18,,
000712,锦龙股份,16.37,146.7亿,0.010,242.10亿,188.23亿,53.87亿,-80.84,-20.97,3.46亿,3026.39万,876.64万,0.26,17.03万,418.29,,
002797,第一创业,6.39,268.5亿,0.003,424.82亿,281.04亿,143.78亿,-94.13,-49.28,3.64亿,-86.09万,1377.87万,0.10,60.95万,487.22,,
601099,太平洋,3.17,216.1亿,0.001,229.61亿,132.99亿,96.62亿,-95.25,-61.26,1.27亿,814.64万,467.46万,0.05,112.99万,1155.60,,
600816,ST安信,3.39,185.4亿,-0.133,195.50亿,186.77亿,8.73亿,-,29.23,5866.72万,-7.81亿,-7.27亿,-137.40,78.44万,-6.37,,
600864,哈投股份,5.72,119.0亿,-0.050,323.32亿,190.08亿,133.24亿,-174.98,-23.33,7.68亿,-1.51亿,-1.11亿,-0.83,31.82万,-26.77,2.238,2.228
