gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
688068,热景生物,医疗,169.78,105.6亿,10560000000.0,9.670,57.63,7.20万,4.39,23.42亿,2342000000.0,9.94亿,994000000.0,13.48亿,1348000000.0,117200.0,3099.15,12.28亿,1228000000.0,7.08亿,708000000.0,6.01亿,601000000.0,2.074,1.710,2266730.19,60019.76
002932,明德生物,医疗,76.57,73.97亿,7397000000.0,3.532,26.68,8.67万,5.42,18.68亿,1868000000.0,3.91亿,391000000.0,14.77亿,1477000000.0,17400.0,2270.97,6.77亿,677000000.0,4.17亿,417000000.0,3.41亿,341000000.0,4.238,3.698,122943.62,16072.15
300677,英科医疗,医疗,116.25,425.9亿,42590000000.0,10.198,33.29,20.93万,2.85,170.93亿,17093000000.0,38.16亿,3815999999.9999995,132.77亿,13277000000.000002,2791.66,770.86,67.35亿,6734999999.999999,44.22亿,4422000000.0,37.36亿,3736000000.0,5.862,5.284,57025.38,15809.14
688298,东方生物,医疗,203.90,244.7亿,24470000000.0,9.890,39.02,4.67万,5.16,49.60亿,4960000000.0,13.19亿,1319000000.0,36.41亿,3640999999.9999995,2601.42,1925.91,22.36亿,2236000000.0,13.77亿,1377000000.0,11.86亿,1186000000.0,3.518,3.044,51540.15,38178.56
300981,中红医疗,医疗,112.16,186.9亿,18690000000.0,8.414,43.06,3.53万,3.33,50.08亿,5008000000.0,10.50亿,1050000000.0,39.58亿,3958000000.0,2437.40,588.22,22.73亿,2273000000.0,16.80亿,1680000000.0,14.02亿,1402000000.0,3.460,3.077,41088.09,9970.09
688613,奥精医疗,医疗,69.76,93.01亿,9301000000.0,0.136,2.62,1.29万,128.53,8.42亿,842000000.0,1.73亿,173000000.0,6.69亿,669000000.0,15600.0,152.55,3668.61万,36686100.0,2158.89万,21588900.0,1809.15万,18091500.0,9.706,9.373,4244.36,42.65
002382,蓝帆医疗,医疗,20.66,208.0亿,20800000000.0,1.707,15.32,32.09万,3.03,177.38亿,17738000000.0,50.55亿,5055000000.0,126.83亿,12683000000.0,1086.89,253.01,31.67亿,3167000000.0,18.61亿,1861000000.0,17.18亿,1718000000.0,4.185,3.572,3725.15,878.29
688399,硕世生物,医疗,157.29,92.20亿,9220000000.0,6.610,20.85,2.46万,5.95,26.50亿,2650000000.0,5.98亿,598000000.0,20.52亿,2052000000.0,273.96,327.46,8.57亿,857000000.0,4.59亿,459000000.0,3.87亿,387000000.0,4.169,3.501,3677.94,4385.21
603882,金域医学,医疗,141.00,652.3亿,65229999999.99999,1.163,13.23,8.95万,30.31,79.22亿,7922000000.0,33.22亿,3322000000.0,46.00亿,4600000000.0,1023.12,128.81,26.79亿,2679000000.0,6.54亿,654000000.0,5.38亿,538000000.0,2.152,2.035,2389.66,309.5
688139,海尔生物,医疗,107.34,340.3亿,34030000000.0,1.320,14.07,2.10万,20.27,45.52亿,4552000000.0,13.56亿,1356000000.0,31.96亿,3196000000.0,506.02,55.01,4.14亿,413999999.99999994,4.77亿,476999999.99999994,4.20亿,420000000.0,2.793,2.495,1347.11,156.45
300725,药石科技,医疗,177.19,353.8亿,35380000000.0,1.930,18.18,10.25万,46.41,32.57亿,3257000000.0,7.88亿,788000000.0,24.69亿,2469000000.0,336.52,35.24,6.21亿,621000000.0,4.02亿,401999999.99999994,3.81亿,381000000.0,2.626,2.129,1315.37,152.43
688317,之江生物,医疗,67.00,130.5亿,13050000000.0,1.770,10.94,5.48万,10.31,41.74亿,4174000000.0,4.91亿,491000000.0,36.83亿,3683000000.0,221.52,201.37,6.56亿,656000000.0,3.75亿,375000000.0,3.16亿,316000000.0,7.900,7.270,799.23,727.89
300896,爱美客,医疗,642.30,1390亿,139000000000.0,1.240,3.76,4.31万,203.46,44.16亿,4416000000.0,1.40亿,140000000.0,42.76亿,4276000000.0,296.50,227.52,2.59亿,259000000.0,1.98亿,198000000.0,1.71亿,171000000.0,37.97,37.72,745.86,574.79
688289,圣湘生物,医疗,89.00,356.0亿,35600000000.0,1.560,12.30,1.98万,14.31,62.31亿,6231000000.0,8.64亿,864000000.0,53.68亿,5368000000.0,222.21,191.01,11.63亿,1163000000.0,7.32亿,732000000.0,6.22亿,622000000.0,7.026,6.415,706.56,609.21
688617,惠泰医疗,医疗,442.20,294.8亿,29480000000.0,0.770,3.77,4258,156.17,17.94亿,1794000000.0000002,1.49亿,149000000.0,16.45亿,1645000000.0,439.94,124.32,1.61亿,161000000.0,5275.07万,52750700.0,4719.47万,47194700.0,12.76,11.58,684.05,198.0
688050,爱博医疗,医疗,271.73,285.7亿,28570000000.0,0.340,2.34,8851,198.36,16.55亿,1655000000.0,6584.81万,65848100.00000001,15.89亿,1589000000.0,954.25,222.01,8440.94万,84409400.0,4010.84万,40108400.0,3600.72万,36007200.0,22.31,21.17,651.78,153.86
688607,康众医疗,医疗,43.60,38.42亿,3842000000.0,0.280,3.31,1.33万,42.80,9.07亿,907000000.0,6906.42万,69064200.0,8.38亿,838000000.0000001,836.00,112.14,8876.32万,88763200.0,2698.36万,26983600.0,2244.40万,22444000.0,13.96,12.53,470.54,65.18
