股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
688298,东方生物,203.90,244.7亿,9.890,49.60亿,13.19亿,36.41亿,2601.42,1925.91,22.36亿,13.77亿,11.86亿,39.02,4.67万,5.16,3.518,3.044
688068,热景生物,169.78,105.6亿,9.670,23.42亿,9.94亿,13.48亿,11.72万,3099.15,12.28亿,7.08亿,6.01亿,57.63,7.20万,4.39,2.074,1.710
300981,中红医疗,112.16,186.9亿,8.414,50.08亿,10.50亿,39.58亿,2437.40,588.22,22.73亿,16.80亿,14.02亿,43.06,3.53万,3.33,3.460,3.077
688399,硕世生物,157.29,92.20亿,6.610,26.50亿,5.98亿,20.52亿,273.96,327.46,8.57亿,4.59亿,3.87亿,20.85,2.46万,5.95,4.169,3.501
002932,明德生物,76.57,73.97亿,3.532,18.68亿,3.91亿,14.77亿,1.74万,2270.97,6.77亿,4.17亿,3.41亿,26.68,8.67万,5.42,4.238,3.698
300677,英科医疗,116.25,425.9亿,10.198,170.93亿,38.16亿,132.77亿,2791.66,770.86,67.35亿,44.22亿,37.36亿,33.29,20.93万,2.85,5.862,5.284
300725,药石科技,177.19,353.8亿,1.930,32.57亿,7.88亿,24.69亿,336.52,35.24,6.21亿,4.02亿,3.81亿,18.18,10.25万,46.41,2.626,2.129
688317,之江生物,67.00,130.5亿,1.770,41.74亿,4.91亿,36.83亿,221.52,201.37,6.56亿,3.75亿,3.16亿,10.94,5.48万,10.31,7.900,7.270
002382,蓝帆医疗,20.66,208.0亿,1.707,177.38亿,50.55亿,126.83亿,1086.89,253.01,31.67亿,18.61亿,17.18亿,15.32,32.09万,3.03,4.185,3.572
688289,圣湘生物,89.00,356.0亿,1.560,62.31亿,8.64亿,53.68亿,222.21,191.01,11.63亿,7.32亿,6.22亿,12.30,1.98万,14.31,7.026,6.415
300760,迈瑞医疗,397.80,4836亿,1.411,350.40亿,100.27亿,250.14亿,30.59,21.93,57.81亿,19.03亿,17.15亿,7.10,8.81万,70.49,2.658,2.212
688016,心脉医疗,313.88,225.9亿,1.410,15.36亿,2.00亿,13.36亿,70.96,99.07,1.97亿,1.19亿,1.02亿,7.91,1.32万,55.55,8.394,7.844
688139,海尔生物,107.34,340.3亿,1.320,45.52亿,13.56亿,31.96亿,506.02,55.01,4.14亿,4.77亿,4.20亿,14.07,2.10万,20.27,2.793,2.495
