gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
300244,迪安诊断,医药制造,35.40,219.6亿,21960000000.0,0.546,6.93,22.82万,16.22,133.71亿,13371000000.0,67.30亿,6730000000.0,66.41亿,6641000000.0,4989.85,87.13,28.68亿,2868000000.0,4.88亿,488000000.0,3.39亿,339000000.0,1.560,1.342,5453.56,99.79
688606,奥泰生物,医药制造,140.01,75.47亿,7547000000.0,3.720,14.34,8627,12.56,30.13亿,3013000000.0,2.47亿,247000000.00000003,27.66亿,2766000000.0,368.54,325.63,2.88亿,288000000.0,1.74亿,174000000.0,1.50亿,150000000.0,11.61,11.09,2773.56,2454.31
300639,凯普生物,医药制造,31.12,91.46亿,9146000000.0,0.585,6.37,14.22万,13.30,32.29亿,3229000000.0,4.90亿,490000000.00000006,27.39亿,2739000000.0,771.05,307.09,6.09亿,609000000.0,2.27亿,227000000.0,1.72亿,172000000.0,4.721,4.332,907.1,364.27
002030,达安基因,医药制造,22.00,308.8亿,30880000000.0,0.804,23.35,112.88万,9.71,81.66亿,8166000000.0,25.17亿,2517000000.0,56.49亿,5649000000.0,505.59,297.38,23.40亿,2340000000.0,13.25亿,1325000000.0,11.29亿,1129000000.0,2.391,2.191,819.82,485.02
002022,科华生物,医药制造,14.12,72.68亿,7268000000.000001,0.665,10.33,18.46万,5.31,64.29亿,6429000000.000001,20.05亿,2005000000.0,44.24亿,4424000000.0,584.50,170.82,14.53亿,1453000000.0,6.35亿,635000000.0,3.42亿,342000000.0,3.792,3.051,783.04,232.84
300676,华大基因,医药制造,114.42,473.6亿,47360000000.0,1.291,6.99,9.34万,22.55,134.52亿,13452000000.000002,48.83亿,4883000000.0,85.70亿,8570000000.0,274.94,97.60,15.63亿,1563000000.0,6.19亿,619000000.0,5.25亿,525000000.0,3.068,2.719,720.87,262.98
688217,睿昂基因,医药制造,77.06,42.83亿,4283000000.0,0.295,2.50,7939,65.35,7.28亿,728000000.0,5031.65万,50316500.0,6.77亿,677000000.0,907.46,51.84,6477.10万,64771000.0,1662.30万,16623000.0,1638.35万,16383500.0,10.39,9.532,537.91,33.09
688131,皓元医药,医药制造,336.00,249.8亿,24980000000.0,0.729,9.78,8499,115.26,9.64亿,964000000.0,3.84亿,384000000.0,5.80亿,580000000.0,323.94,120.85,2.26亿,225999999.99999997,6431.33万,64313300.0,5417.86万,54178600.0,2.631,1.686,478.5,182.4
600976,健民集团,医药制造,46.66,71.58亿,7158000000.0,1.100,12.10,3.45万,21.41,25.85亿,2585000000.0,11.85亿,1185000000.0,13.99亿,1399000000.0,192.24,74.50,17.93亿,1793000000.0,1.87亿,187000000.0,1.67亿,167000000.0,1.480,1.384,432.28,173.25
688076,诺泰生物,医药制造,55.20,117.7亿,11770000000.0,0.186,4.03,2.90万,74.12,13.91亿,1391000000.0,3.84亿,384000000.0,10.07亿,1007000000.0,901.41,258.62,1.66亿,166000000.0,4685.28万,46852800.0,3968.99万,39689900.0,1.386,0.771,336.91,97.79
002873,新天药业,医药制造,17.14,20.08亿,2007999999.9999998,0.217,3.04,1.29万,19.79,15.26亿,1526000000.0,6.87亿,687000000.0,8.39亿,839000000.0,714.60,113.84,2.15亿,215000000.0,3028.30万,30283000.0,2536.64万,25366400.0,1.520,1.323,311.98,51.25
600200,江苏吴中,医药制造,8.07,57.49亿,5749000000.0,0.133,5.01,21.73万,15.14,38.65亿,3865000000.0,19.19亿,1919000000.0000002,19.47亿,1947000000.0,1158.58,26.69,5.45亿,545000000.0,1.12亿,112000000.00000001,9495.60万,94956000.0,1.666,1.579,309.31,8.23
603392,万泰生物,医药制造,283.91,1723亿,172300000000.0,0.476,10.72,1.42万,148.98,39.07亿,3907000000.0,10.35亿,1035000000.0,28.72亿,2872000000.0,310.61,165.05,8.24亿,824000000.0,3.37亿,337000000.0,2.89亿,289000000.0,2.406,1.929,299.75,161.17
300406,九强生物,医药制造,18.52,109.1亿,10910000000.0,0.190,3.45,6.41万,24.31,40.45亿,4045000000.0000005,4.87亿,487000000.0,35.58亿,3558000000.0,780.50,231.58,3.74亿,374000000.0,1.55亿,155000000.0,1.12亿,112000000.00000001,8.356,7.242,298.2,89.62
688202,美迪西,医药制造,487.66,302.3亿,30230000000.0,0.730,3.94,6003,167.53,14.56亿,1456000000.0,2.70亿,270000000.0,11.86亿,1186000000.0,195.70,102.81,2.15亿,215000000.0,5328.42万,53284200.0,4511.87万,45118700.0,3.692,3.465,291.93,156.31
000661,长春高新,医药制造,306.47,1240亿,124000000000.0,2.160,7.69,9.96万,35.46,177.72亿,17772000000.0,45.55亿,4555000000.0,132.17亿,13216999999.999998,61.21,37.35,22.81亿,2281000000.0,10.55亿,1055000000.0000001,8.75亿,875000000.0,4.107,2.980,282.79,179.71
300705,九典制药,医药制造,26.85,63.01亿,6301000000.0,0.200,5.41,5.97万,33.92,12.14亿,1214000000.0,3.32亿,332000000.0,8.82亿,882000000.0,553.18,73.31,2.78亿,278000000.0,5446.30万,54463000.0,4644.75万,46447500.0,2.684,1.783,222.97,31.02
002422,科伦药业,医药制造,18.37,261.9亿,26189999999.999996,0.123,1.30,14.94万,37.31,317.46亿,31745999999.999996,176.59亿,17659000000.0,140.87亿,14087000000.0,701.49,17.35,41.51亿,4151000000.0,1.72亿,172000000.0,1.75亿,175000000.0,1.159,0.878,173.61,5.31
601607,上海医药,医药制造,19.07,542.0亿,54200000000.0,0.750,4.57,12.16万,6.39,1560.35亿,156035000000.0,992.95亿,99295000000.0,567.40亿,56740000000.0,104.24,27.57,516.00亿,51600000000.0,29.97亿,2997000000.0,21.20亿,2120000000.0,1.222,0.964,162.73,47.73
603168,莎普爱思,医药制造,8.93,28.81亿,2881000000.0,0.030,0.80,8.21万,68.67,16.64亿,1664000000.0,3.47亿,347000000.0,13.17亿,1317000000.0,2415.40,125.59,1.53亿,153000000.0,1743.60万,17436000.0,1048.84万,10488400.0,1.913,1.721,145.18,7.79
000915,华特达因,医药制造,34.32,80.42亿,8042000000.0,0.980,11.09,16.05万,17.54,38.46亿,3846000000.0,5.71亿,571000000.0,32.75亿,3275000000.0,69.80,21.45,10.11亿,1011000000.0,4.92亿,492000000.0,2.29亿,229000000.0,5.088,4.750,145.14,50.37
300841,康华生物,医药制造,216.17,194.6亿,19460000000.0,1.117,4.96,8602,48.40,22.03亿,2203000000.0,1.25亿,125000000.0,20.77亿,2077000000.0,54.91,50.96,2.37亿,237000000.0,1.19亿,119000000.0,1.00亿,100000000.0,13.96,13.52,132.16,123.34
600645,中源协和,医药制造,19.40,90.78亿,9078000000.0,0.100,1.30,8.66万,49.82,51.26亿,5126000000.0,14.25亿,1425000000.0,37.01亿,3701000000.0,644.70,32.44,3.67亿,367000000.0,5923.28万,59232800.0,4555.36万,45553600.0,1.468,1.300,129.79,7.34
300434,金石亚药,医药制造,10.21,41.02亿,4102000000.0000005,0.200,2.85,7.39万,13.00,26.02亿,2602000000.0,4.64亿,463999999.99999994,21.38亿,2138000000.0,300.56,81.18,3.77亿,377000000.0,9179.00万,91790000.0,7890.31万,78903100.0,2.509,1.984,121.92,34.17
605177,东亚药业,医药制造,31.86,36.19亿,3619000000.0,0.220,1.41,5387,36.87,21.39亿,2139000000.0,3.85亿,385000000.0,17.54亿,1754000000.0,239.76,30.91,1.90亿,190000000.0,3013.92万,30139200.0,2454.00万,24540000.0,,,107.36,15.47
