股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
688606,奥泰生物,140.01,75.47亿,3.720,30.13亿,2.47亿,27.66亿,368.54,325.63,2.88亿,1.74亿,1.50亿,14.34,8627,12.56,11.61,11.09
000661,长春高新,306.47,1240亿,2.160,177.72亿,45.55亿,132.17亿,61.21,37.35,22.81亿,10.55亿,8.75亿,7.69,9.96万,35.46,4.107,2.980
002900,哈三联,24.51,77.60亿,1.780,30.29亿,6.75亿,23.55亿,1660.87,-20.30,2.30亿,5.64亿,5.63亿,27.17,15.97万,3.44,2.500,2.231
300676,华大基因,114.42,473.6亿,1.291,134.52亿,48.83亿,85.70亿,274.94,97.60,15.63亿,6.19亿,5.25亿,6.99,9.34万,22.55,3.068,2.719
300841,康华生物,216.17,194.6亿,1.117,22.03亿,1.25亿,20.77亿,54.91,50.96,2.37亿,1.19亿,1.00亿,4.96,8602,48.40,13.96,13.52
600976,健民集团,46.66,71.58亿,1.100,25.85亿,11.85亿,13.99亿,192.24,74.50,17.93亿,1.87亿,1.67亿,12.10,3.45万,21.41,1.480,1.384
600332,白云山,30.79,500.6亿,1.001,628.25亿,329.37亿,298.88亿,37.47,18.02,200.46亿,20.42亿,16.27亿,6.04,15.97万,7.69,1.644,1.371
000915,华特达因,34.32,80.42亿,0.980,38.46亿,5.71亿,32.75亿,69.80,21.45,10.11亿,4.92亿,2.29亿,11.09,16.05万,17.54,5.088,4.750
688513,苑东生物,47.99,57.63亿,0.980,25.81亿,4.03亿,21.77亿,36.32,14.65,4.99亿,1.26亿,1.17亿,5.48,7805,24.56,5.150,4.895
600436,片仔癀,372.80,2249亿,0.940,109.57亿,21.02亿,88.56亿,20.84,16.76,20.02亿,6.82亿,5.65亿,6.62,9.43万,100.92,4.834,3.716
002030,达安基因,22.00,308.8亿,0.804,81.66亿,25.17亿,56.49亿,505.59,297.38,23.40亿,13.25亿,11.29亿,23.35,112.88万,9.71,2.391,2.191
603538,美诺华,35.68,53.37亿,0.790,36.16亿,15.95亿,20.21亿,9.84,6.21,6.92亿,1.46亿,1.16亿,6.80,4.32万,22.94,1.656,1.163
000028,国药一致,35.00,149.8亿,0.770,430.21亿,256.95亿,173.25亿,32.15,25.15,160.50亿,4.77亿,3.29亿,2.33,2.27万,11.39,1.383,1.073
601607,上海医药,19.07,542.0亿,0.750,1560.35亿,992.95亿,567.40亿,104.24,27.57,516.00亿,29.97亿,21.20亿,4.57,12.16万,6.39,1.222,0.964
688202,美迪西,487.66,302.3亿,0.730,14.56亿,2.70亿,11.86亿,195.70,102.81,2.15亿,5328.42万,4511.87万,3.94,6003,167.53,3.692,3.465
688131,皓元医药,336.00,249.8亿,0.729,9.64亿,3.84亿,5.80亿,323.94,120.85,2.26亿,6431.33万,5417.86万,9.78,8499,115.26,2.631,1.686
605507,N国邦,46.90,262.1亿,0.676,54.33亿,17.81亿,36.52亿,-15.43,5.20,22.42亿,4.37亿,3.78亿,10.90,1.89万,34.70,,
002022,科华生物,14.12,72.68亿,0.665,64.29亿,20.05亿,44.24亿,584.50,170.82,14.53亿,6.35亿,3.42亿,10.33,18.46万,5.31,3.792,3.051
000999,华润三九,24.13,236.2亿,0.660,222.52亿,74.82亿,147.70亿,22.95,29.05,40.80亿,7.79亿,6.43亿,4.58,3.92万,9.18,1.618,1.360
600211,西藏药业,55.94,138.7亿,0.630,32.28亿,4.71亿,27.58亿,22.29,66.55,4.94亿,1.76亿,1.57亿,5.91,4.86万,22.06,3.249,3.101
000538,云南白药,99.24,1268亿,0.600,537.97亿,145.01亿,392.97亿,-40.48,33.38,103.28亿,8.81亿,7.63亿,1.94,9.12万,41.53,3.592,2.866
300122,智飞生物,154.53,2472亿,0.586,171.28亿,79.41亿,91.87亿,81.69,49.04,39.27亿,11.01亿,9.38亿,10.76,17.26万,65.89,1.687,1.232
300639,凯普生物,31.12,91.46亿,0.585,32.29亿,4.90亿,27.39亿,771.05,307.09,6.09亿,2.27亿,1.72亿,6.37,14.22万,13.30,4.721,4.332
603368,柳药股份,20.04,72.63亿,0.573,151.11亿,94.62亿,56.49亿,12.29,15.10,41.62亿,2.66亿,2.08亿,3.99,2.25万,8.74,1.594,1.374
603883,老百姓,44.29,181.0亿,0.560,139.42亿,93.50亿,45.92亿,16.03,10.85,36.38亿,3.20亿,2.28亿,4.50,3.39万,19.89,0.673,0.350
000513,丽珠集团,40.75,381.3亿,0.555,213.59亿,72.28亿,141.31亿,30.12,33.74,33.50亿,7.04亿,5.20亿,4.22,9.46万,18.34,2.407,2.185
688366,昊海生科,217.07,381.7亿,0.552,64.03亿,5.47亿,58.56亿,-,149.05,3.83亿,1.15亿,9699.27万,1.75,2.74万,98.37,9.075,8.453
300244,迪安诊断,35.40,219.6亿,0.546,133.71亿,67.30亿,66.41亿,4989.85,87.13,28.68亿,4.88亿,3.39亿,6.93,22.82万,16.22,1.560,1.342
300685,艾德生物,86.02,190.7亿,0.500,13.58亿,1.24亿,12.34亿,37.77,40.96,3.99亿,1.25亿,1.11亿,9.40,3.22万,85.66,9.636,9.300
600566,济川药业,15.37,136.5亿,0.494,111.31亿,29.29亿,82.02亿,-5.40,-4.55,19.16亿,5.05亿,4.39亿,5.50,5.09万,7.77,3.371,3.238
603392,万泰生物,283.91,1723亿,0.476,39.07亿,10.35亿,28.72亿,310.61,165.05,8.24亿,3.37亿,2.89亿,10.72,1.42万,148.98,2.406,1.929
002001,新 和 成,27.11,699.0亿,0.441,333.85亿,128.45亿,205.40亿,26.34,42.64,37.44亿,13.51亿,11.37亿,5.71,31.03万,15.37,2.363,1.887
002727,一心堂,29.92,178.4亿,0.437,120.29亿,59.66亿,60.63亿,27.28,11.07,34.29亿,2.91亿,2.61亿,4.38,7.58万,17.02,1.528,0.992
000963,华东医药,36.71,642.4亿,0.433,260.97亿,102.54亿,158.42亿,-33.90,3.47,88.97亿,9.37亿,7.58亿,5.04,36.39万,21.18,1.672,1.239
603351,威尔药业,18.39,24.03亿,0.430,16.84亿,3.66亿,13.18亿,-1.66,45.90,4.85亿,7599.46万,5649.80万,4.28,1.14万,21.27,1.234,0.832
688180,君实生物-U,61.16,557.0亿,0.414,85.52亿,22.94亿,62.59亿,-,838.81,16.15亿,4.61亿,3.77亿,6.24,7.76万,36.91,3.134,2.901
300723,一品红,36.07,104.1亿,0.410,27.84亿,12.12亿,15.72亿,46.61,46.48,9.53亿,1.34亿,1.18亿,7.47,3.13万,44.13,2.186,2.001
002262,恩华药业,13.79,138.9亿,0.410,50.88亿,6.70亿,44.18亿,16.46,25.81,18.65亿,4.78亿,4.11亿,9.52,12.40万,16.91,6.599,5.721
603590,康辰药业,32.33,51.73亿,0.410,35.51亿,6.12亿,29.39亿,99.78,197.56,2.11亿,7311.60万,6439.51万,2.15,8768,20.08,2.894,2.825
600998,九州通,14.12,264.6亿,0.406,822.32亿,558.85亿,263.46亿,31.73,20.08,326.29亿,10.23亿,7.60亿,3.64,4.58万,8.70,1.250,0.962
002603,以岭药业,18.96,316.8亿,0.404,135.10亿,39.11亿,95.99亿,54.05,57.20,36.68亿,8.24亿,6.75亿,7.15,31.34万,11.74,1.952,1.487
300573,兴齐眼药,98.31,80.94亿,0.403,10.46亿,3.14亿,7.32亿,-,150.51,2.07亿,4138.96万,3320.63万,4.75,1.92万,60.94,1.464,1.164
600511,国药股份,30.44,229.7亿,0.395,246.67亿,113.51亿,133.16亿,28.38,26.03,103.47亿,4.15亿,2.98亿,2.57,8.70万,19.28,2.021,1.698
002737,葵花药业,15.20,88.77亿,0.390,51.15亿,14.82亿,36.33亿,46.53,33.70,12.17亿,3.18亿,2.26亿,6.86,6.91万,9.83,3.161,2.544
300702,天宇股份,32.89,114.4亿,0.384,49.57亿,12.56亿,37.01亿,-19.84,33.43,7.59亿,1.56亿,1.33亿,3.69,10.55万,21.44,2.371,1.457
603858,XD步长制,19.58,223.5亿,0.367,229.62亿,87.57亿,142.05亿,33.39,26.97,33.51亿,4.73亿,4.06亿,2.92,6.13万,13.77,1.073,0.621
688526,科前生物,29.04,135.0亿,0.360,33.60亿,4.82亿,28.77亿,82.47,82.31,3.19亿,1.94亿,1.69亿,6.05,2.60万,19.98,6.081,5.867
688799,华纳药厂,44.45,41.69亿,0.357,9.67亿,2.70亿,6.97亿,38.00,29.73,2.37亿,3881.19万,3347.75万,4.92,1.89万,31.14,2.185,1.243
300558,贝达药业,89.51,371.4亿,0.356,53.48亿,10.56亿,42.93亿,13.24,-4.41,6.19亿,1.72亿,1.48亿,3.51,4.66万,62.85,4.684,4.165
300482,万孚生物,54.50,242.5亿,0.349,44.60亿,12.97亿,31.63亿,58.84,26.27,6.97亿,1.76亿,1.55亿,5.31,4.20万,39.01,3.248,2.653
000623,吉林敖东,15.28,177.7亿,0.340,276.92亿,39.21亿,237.70亿,19.23,11.92,5.24亿,3.82亿,3.91亿,1.66,17.58万,11.35,4.247,3.837
002940,昂利康,32.83,31.50亿,0.340,18.82亿,4.76亿,14.06亿,-21.56,4.28,3.19亿,4064.79万,3278.26万,2.45,2.32万,24.02,2.864,2.358
603087,甘李药业,74.18,416.6亿,0.340,96.47亿,5.19亿,91.28亿,54.39,16.75,5.49亿,2.38亿,1.90亿,2.10,5.80万,54.79,18.90,17.10
603939,益丰药房,48.69,350.0亿,0.336,157.60亿,84.80亿,72.79亿,29.39,19.09,36.30亿,3.61亿,2.41亿,4.17,5.83万,36.26,1.312,0.925
600196,复星医药,82.39,2112亿,0.330,866.14亿,396.24亿,469.90亿,46.78,37.00,80.56亿,11.45亿,8.47亿,2.27,74.30万,62.31,1.055,0.855
688363,华熙生物,225.10,1080亿,0.320,60.52亿,8.76亿,51.76亿,41.05,111.12,7.77亿,1.89亿,1.52亿,2.99,4.46万,177.25,7.103,6.116
300759,康龙化成,207.23,1646亿,0.310,127.62亿,36.10亿,91.52亿,142.20,55.28,14.89亿,2.82亿,2.46亿,2.73,5.60万,167.38,2.203,2.065
688217,睿昂基因,77.06,42.83亿,0.295,7.28亿,5031.65万,6.77亿,907.46,51.84,6477.10万,1662.30万,1638.35万,2.50,7939,65.35,10.39,9.532
603658,安图生物,63.30,371.1亿,0.292,80.68亿,13.27亿,67.41亿,84.15,48.44,8.17亿,1.93亿,1.71亿,2.61,5.36万,54.10,4.873,4.391
300119,瑞普生物,25.42,102.8亿,0.288,41.48亿,12.90亿,28.58亿,59.11,23.35,5.60亿,1.53亿,1.16亿,4.63,7.13万,22.09,1.818,1.449
600329,中新药业,26.93,208.3亿,0.280,88.01亿,26.32亿,61.69亿,25.34,10.32,18.27亿,2.48亿,2.13亿,3.60,7.97万,24.46,2.476,1.899
002462,嘉事堂,12.74,37.16亿,0.280,140.51亿,86.18亿,54.33亿,60.51,43.51,58.11亿,2.02亿,8182.91万,2.23,1.71万,11.35,1.492,1.216
600216,浙江医药,15.92,153.6亿,0.280,109.50亿,26.65亿,82.86亿,79.78,49.98,24.00亿,3.01亿,2.67亿,3.42,50.48万,14.39,2.432,1.773
600062,华润双鹤,11.19,116.7亿,0.274,132.45亿,31.27亿,101.18亿,4.09,10.34,24.08亿,3.61亿,2.86亿,3.03,3.90万,10.20,2.855,2.293
603896,寿仙谷,42.78,64.86亿,0.272,18.08亿,3.93亿,14.15亿,25.67,31.12,1.74亿,4117.17万,4123.34万,3.03,1.01万,39.33,4.950,4.316
600993,马应龙,25.93,111.8亿,0.270,40.01亿,9.37亿,30.64亿,7.21,156.87,8.61亿,1.42亿,1.17亿,4.04,12.48万,23.83,4.231,3.852
002653,海思科,20.58,221.1亿,0.267,51.41亿,19.23亿,32.18亿,123.76,23.68,7.28亿,4.67亿,2.87亿,9.43,3.48万,19.24,1.717,1.526
603520,司太立,43.24,105.9亿,0.260,43.15亿,23.69亿,19.46亿,41.43,24.90,3.64亿,7930.67万,6457.15万,3.47,5.54万,41.00,1.393,1.006
600422,昆药集团,9.41,71.35亿,0.257,81.20亿,33.14亿,48.06亿,112.24,20.92,18.95亿,2.37亿,1.95亿,4.28,10.44万,9.15,1.903,1.270
688621,阳光诺和,76.27,61.02亿,0.257,4.22亿,2.07亿,2.14亿,19.01,29.82,9577.08万,2474.19万,2053.48万,10.30,5514,74.28,1.446,1.413
002773,康弘药业,18.95,174.2亿,0.254,70.87亿,10.98亿,59.89亿,32.29,44.54,9.15亿,2.54亿,2.34亿,3.35,9.76万,18.64,4.666,4.388
