gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
688068,热景生物,安防,169.78,105.6亿,10560000000.0,9.670,57.63,7.20万,4.39,23.42亿,2342000000.0,9.94亿,994000000.0,13.48亿,1348000000.0,117200.0,3099.15,12.28亿,1228000000.0,7.08亿,708000000.0,6.01亿,601000000.0,2.074,1.710,2266730.19,60019.76
688301,奕瑞科技,安防,350.84,254.5亿,25450000000.0,1.030,2.87,5615,85.43,29.95亿,2995000000.0,3.52亿,352000000.0,26.43亿,2643000000.0,132.00,65.40,2.23亿,223000000.0,8284.27万,82842700.0,7448.81万,74488100.0,8.766,8.107,280.68,143.48
002960,青鸟消防,安防,26.70,92.91亿,9291000000.0,0.147,1.64,2.53万,45.55,43.91亿,4391000000.0,11.78亿,1178000000.0,32.13亿,3213000000.0000005,876.21,166.80,4.53亿,453000000.0,6119.51万,61195100.0,5099.73万,50997299.99999999,3.178,2.710,258.86,50.29
300101,振芯科技,安防,30.44,169.7亿,16969999999.999998,0.142,7.52,73.66万,106.98,20.15亿,2014999999.9999998,7.23亿,723000000.0,12.92亿,1292000000.0,586.81,111.60,3.60亿,360000000.0,9520.60万,95206000.0,7929.52万,79295200.0,2.605,1.671,167.86,32.9
300790,宇瞳光学,安防,42.78,93.74亿,9374000000.0,0.263,4.39,3.30万,40.74,28.94亿,2894000000.0,15.50亿,1550000000.0,13.44亿,1344000000.0,218.92,97.49,4.41亿,441000000.0,6831.09万,68310900.0,5752.34万,57523400.0,1.095,0.749,117.39,53.52
300014,亿纬锂能,安防,114.00,2153亿,215300000000.0,0.343,4.55,43.16万,83.21,290.61亿,29061000000.0,116.12亿,11612000000.0,174.49亿,17449000000.0,156.22,125.98,29.58亿,2958000000.0,7.94亿,794000000.0,6.47亿,647000000.0,1.354,1.115,110.08,89.34
300516,久之洋,安防,32.82,59.08亿,5908000000.0,0.074,1.17,3.11万,110.49,14.56亿,1456000000.0,3.10亿,310000000.0,11.46亿,1146000000.0,736.02,64.76,1.17亿,117000000.0,1385.63万,13856300.000000002,1336.72万,13367200.0,3.716,2.652,109.56,10.21
603728,鸣志电器,安防,17.93,75.34亿,7534000000.0,0.136,2.59,7.22万,33.01,28.04亿,2804000000.0,5.69亿,569000000.0,22.35亿,2235000000.0,301.17,51.54,6.14亿,614000000.0,7323.32万,73233200.0,5705.70万,57057000.0,3.213,2.460,83.07,15.17
002139,拓邦股份,安防,16.83,208.4亿,20840000000.0,0.380,11.13,35.21万,24.34,86.19亿,8619000000.0,36.01亿,3601000000.0,50.18亿,5018000000.0,104.96,82.44,36.44亿,3644000000.0,4.82亿,482000000.0,4.28亿,428000000.0,1.819,1.256,83.0,65.88
002415,海康威视,安防,61.23,5716亿,571600000000.0,0.695,11.62,37.05万,44.10,871.19亿,87119000000.0,331.37亿,33137000000.0,539.82亿,53982000000.00001,40.17,39.68,339.02亿,33902000000.0,72.82亿,7281999999.999999,64.81亿,6481000000.0,2.404,1.902,61.74,61.06
603516,淳中科技,安防,19.60,36.56亿,3656000000.0,0.064,1.14,2.37万,76.98,13.92亿,1392000000.0,3.38亿,338000000.0,10.54亿,1053999999.9999999,410.06,70.51,8589.50万,85895000.0,1478.09万,14780900.0,1187.45万,11874500.0,9.207,8.455,53.03,9.57
