股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
688068,热景生物,169.78,105.6亿,9.670,23.42亿,9.94亿,13.48亿,11.72万,3099.15,12.28亿,7.08亿,6.01亿,57.63,7.20万,4.39,2.074,1.710
688301,奕瑞科技,350.84,254.5亿,1.030,29.95亿,3.52亿,26.43亿,132.00,65.40,2.23亿,8284.27万,7448.81万,2.87,5615,85.43,8.766,8.107
002415,海康威视,61.23,5716亿,0.695,871.19亿,331.37亿,539.82亿,40.17,39.68,339.02亿,72.82亿,64.81亿,11.62,37.05万,44.10,2.404,1.902
002139,拓邦股份,16.83,208.4亿,0.380,86.19亿,36.01亿,50.18亿,104.96,82.44,36.44亿,4.82亿,4.28亿,11.13,35.21万,24.34,1.819,1.256
300014,亿纬锂能,114.00,2153亿,0.343,290.61亿,116.12亿,174.49亿,156.22,125.98,29.58亿,7.94亿,6.47亿,4.55,43.16万,83.21,1.354,1.115
300613,富瀚微,186.96,224.5亿,0.289,15.68亿,1.95亿,13.73亿,14.30,34.90,2.12亿,3832.85万,3468.13万,2.56,3.47万,161.84,5.323,4.196
688002,睿创微纳,117.49,522.8亿,0.271,37.08亿,6.10亿,30.98亿,42.04,64.94,3.81亿,1.36亿,1.21亿,4.04,4.22万,108.22,5.309,3.644
300790,宇瞳光学,42.78,93.74亿,0.263,28.94亿,15.50亿,13.44亿,218.92,97.49,4.41亿,6831.09万,5752.34万,4.39,3.30万,40.74,1.095,0.749
003005,竞业达,36.41,38.59亿,0.253,18.12亿,4.10亿,14.02亿,-,365.46,1.37亿,3086.72万,2681.25万,1.93,9232,35.99,,
600260,凯乐科技,4.89,48.65亿,0.191,125.28亿,55.05亿,70.23亿,8.24,-2.52,18.78亿,2.28亿,1.90亿,2.82,169.37万,6.41,1.875,1.558
600760,中航沈飞,72.05,1413亿,0.176,295.55亿,183.64亿,111.91亿,-42.29,1.56,57.90亿,4.05亿,3.45亿,3.34,38.46万,102.34,1.354,0.973
603112,华翔股份,12.17,53.07亿,0.170,31.53亿,10.98亿,20.55亿,64.15,42.08,5.91亿,8606.86万,7270.38万,4.01,7.10万,18.25,3.456,2.986
002214,大立科技,22.00,131.8亿,0.169,27.88亿,2.81亿,25.07亿,-11.81,-3.97,2.93亿,1.17亿,1.01亿,5.62,13.29万,32.52,8.471,6.942
300701,森霸传感,20.18,36.32亿,0.157,7.69亿,6293.11万,7.06亿,7.01,32.39,7595.42万,3350.88万,2827.07万,4.08,4.32万,32.12,11.44,10.72
300460,惠伦晶体,27.32,75.40亿,0.155,12.21亿,6.18亿,6.04亿,-,273.55,1.53亿,4372.63万,4281.15万,7.40,25.96万,44.03,1.465,0.853
002443,金洲管道,5.62,29.25亿,0.150,40.86亿,9.50亿,31.36亿,81.44,69.53,12.20亿,9707.54万,7809.58万,2.69,8.10万,9.36,3.777,2.347
002960,青鸟消防,26.70,92.91亿,0.147,43.91亿,11.78亿,32.13亿,876.21,166.80,4.53亿,6119.51万,5099.73万,1.64,2.53万,45.55,3.178,2.710
