gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
603035,常熟汽饰,汽车,12.94,46.47亿,4647000000.0,0.287,2.78,14.47万,11.26,71.14亿,7114000000.0,33.29亿,3329000000.0,37.85亿,3785000000.0,9676.31,48.80,6.08亿,608000000.0,1.13亿,112999999.99999999,1.03亿,103000000.0,0.868,0.687,5556.64,30.45
601238,广汽集团,汽车,14.43,1494亿,149400000000.0,0.229,2.76,67.57万,15.79,1409.98亿,140998000000.0,518.54亿,51854000000.0,891.44亿,89144000000.0,1896.65,47.31,160.24亿,16024000000.0,22.83亿,2283000000.0,23.66亿,2366000000.0,1.347,1.153,870.61,23.61
603178,圣龙股份,汽车,11.04,22.19亿,2219000000.0,0.119,3.50,6.11万,23.10,19.36亿,1936000000.0,12.37亿,1237000000.0,6.99亿,699000000.0,3577.17,39.21,3.44亿,344000000.0,2417.44万,24174400.0,2401.23万,24012300.0,0.706,0.482,852.38,10.34
600741,华域汽车,汽车,20.87,658.0亿,65800000000.0,0.410,2.43,28.49万,12.73,1551.35亿,155135000000.0,955.75亿,95575000000.0,595.59亿,59559000000.0,859.26,45.49,348.78亿,34878000000.0,19.58亿,1957999999.9999998,12.92亿,1292000000.0,1.120,0.910,708.08,40.79
000800,一汽解放,汽车,11.27,524.1亿,52410000000.0,0.388,7.02,40.14万,7.33,878.56亿,87856000000.0,614.74亿,61474000000.0,263.82亿,26382000000.0,879.51,57.89,451.00亿,45100000000.0,20.70亿,2070000000.0,17.88亿,1788000000.0,1.231,1.000,685.8,48.22
600523,贵航股份,汽车,14.99,60.61亿,6061000000.0,0.080,1.26,9.18万,45.62,31.68亿,3168000000.0,3.58亿,358000000.0,28.10亿,2810000000.0,4200.89,34.33,5.67亿,567000000.0,4059.32万,40593200.0,3321.14万,33211400.0,5.577,4.491,672.82,6.17
605208,永茂泰,汽车,25.86,48.62亿,4862000000.0,0.480,5.25,9.08万,18.13,26.48亿,2648000000.0,7.73亿,773000000.0,18.75亿,1875000000.0,635.15,76.92,7.29亿,729000000.0,8828.41万,88284100.0,6703.80万,67038000.0,,,613.82,77.92
600104,上汽集团,汽车,18.91,2209亿,220900000000.0,0.591,2.59,52.94万,8.07,8958.01亿,895801000000.0,5739.40亿,573940000000.0,3218.61亿,321861000000.0,510.83,78.48,1890.95亿,189095000000.0,122.41亿,12241000000.0,68.47亿,6847000000.0,1.161,1.042,608.82,97.79
002662,京威股份,汽车,3.91,58.65亿,5865000000.0,0.050,2.44,58.06万,18.77,49.78亿,4978000000.0,17.34亿,1734000000.0,32.44亿,3244000000.0,4805.45,18.70,8.17亿,817000000.0,9389.13万,93891299.99999999,7810.70万,78107000.0,1.286,0.882,480.97,2.29
603089,正裕工业,汽车,8.78,19.54亿,1954000000.0,0.228,4.84,2.67万,9.61,18.55亿,1855000000.0,6.29亿,629000000.0,12.26亿,1226000000.0,928.13,76.09,3.29亿,329000000.0,5584.44万,55844399.99999999,5079.69万,50796899.99999999,2.075,1.292,425.17,36.64
