股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
601799,星宇股份,223.00,630.9亿,1.009,115.66亿,53.66亿,62.00亿,79.02,51.87,19.11亿,3.29亿,2.86亿,4.71,3.18万,55.23,2.300,1.867
688667,菱电电控,118.20,60.99亿,0.910,16.35亿,3.23亿,13.12亿,137.23,110.72,2.00亿,3963.66万,3531.60万,8.54,1.19万,43.18,5.029,4.578
200581,苏威孚Ｂ,14.81,149.4亿,0.870,286.20亿,89.35亿,196.85亿,56.65,69.55,47.00亿,9.41亿,8.62亿,4.61,1479,3.66,2.083,1.804
000581,威孚高科,20.80,209.9亿,0.870,286.20亿,89.35亿,196.85亿,56.65,69.55,47.00亿,9.41亿,8.62亿,4.61,9.64万,6.09,2.083,1.804
300750,宁德时代,552.00,12856亿,0.839,1733.29亿,1019.88亿,713.41亿,163.38,112.24,191.67亿,27.96亿,19.54亿,3.01,18.30万,164.45,1.804,1.547
000951,中国重汽,25.36,212.8亿,0.780,454.12亿,301.14亿,152.98亿,129.61,151.86,206.78亿,11.31亿,6.03亿,5.16,12.87万,8.82,1.367,1.045
002592,ST八菱,7.84,22.21亿,0.630,15.16亿,5.91亿,9.25亿,-,18.31,1.57亿,1.92亿,1.66亿,19.51,9086,3.34,1.202,0.943
600104,上汽集团,18.91,2209亿,0.591,8958.01亿,5739.40亿,3218.61亿,510.83,78.48,1890.95亿,122.41亿,68.47亿,2.59,52.94万,8.07,1.161,1.042
300695,兆丰股份,49.00,32.67亿,0.530,23.28亿,4.12亿,19.16亿,-15.78,8.54,1.34亿,4011.99万,3534.84万,1.91,3075,23.11,4.392,3.961
300969,恒帅股份,34.34,27.47亿,0.480,4.70亿,1.24亿,3.46亿,103.21,117.62,1.36亿,3351.44万,2889.44万,8.73,5844,23.77,2.539,1.937
605208,永茂泰,25.86,48.62亿,0.480,26.48亿,7.73亿,18.75亿,635.15,76.92,7.29亿,8828.41万,6703.80万,5.25,9.08万,18.13,,
603305,旭升股份,40.03,178.9亿,0.470,52.10亿,18.21亿,33.89亿,49.84,82.35,12.11亿,2.49亿,2.11亿,6.19,14.91万,42.43,1.353,0.984
603950,长源东谷,18.76,43.43亿,0.440,37.60亿,16.42亿,21.18亿,131.87,89.52,5.08亿,1.22亿,1.03亿,4.99,1.08万,10.58,1.969,1.693
605068,明新旭腾,32.95,54.70亿,0.440,22.43亿,4.65亿,17.78亿,102.31,61.93,2.04亿,7921.67万,7230.73万,4.16,9936,18.91,,
002920,德赛西威,107.80,592.9亿,0.420,76.61亿,27.93亿,48.68亿,312.08,78.30,20.42亿,2.69亿,2.28亿,4.81,5.04万,64.90,2.333,1.826
600741,华域汽车,20.87,658.0亿,0.410,1551.35亿,955.75亿,595.59亿,859.26,45.49,348.78亿,19.58亿,12.92亿,2.43,28.49万,12.73,1.120,0.910
000800,一汽解放,11.27,524.1亿,0.388,878.56亿,614.74亿,263.82亿,879.51,57.89,451.00亿,20.70亿,17.88亿,7.02,40.14万,7.33,1.231,1.000
