gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
688069,德林海,环保工程,62.35,37.08亿,3708000000.0,0.670,2.80,7311,23.11,16.93亿,1693000000.0,2.40亿,240000000.0,14.53亿,1453000000.0,186.17,139.72,1.15亿,114999999.99999999,4643.79万,46437900.0,4011.71万,40117100.0,6.537,6.296,255.16,192.92
688335,复洁环保,环保工程,38.92,28.23亿,2823000000.0,0.210,1.41,1.01万,45.94,11.96亿,1196000000.0,1.03亿,103000000.0,10.93亿,1093000000.0,545.83,138.46,8135.10万,81351000.0,1746.39万,17463900.0,1536.08万,15360800.0,10.82,10.33,231.03,59.94
601827,三峰环境,环保工程,8.54,143.3亿,14330000000.000002,0.320,6.68,5.93万,6.67,199.26亿,19926000000.0,111.52亿,11152000000.0,87.75亿,8775000000.0,345.39,69.59,15.98亿,1598000000.0,6.25亿,625000000.0,5.37亿,537000000.0,1.242,1.084,223.77,47.26
300867,圣元环保,环保工程,32.18,87.45亿,8745000000.0,0.451,4.40,7.69万,17.82,71.72亿,7172000000.0,43.22亿,4322000000.0,28.50亿,2850000000.0,126.23,23.20,2.65亿,265000000.0,1.54亿,154000000.0,1.23亿,123000000.0,1.359,1.332,117.69,24.76
002479,富春环保,环保工程,5.51,47.66亿,4766000000.0,0.138,3.08,8.46万,10.01,113.20亿,11320000000.0,66.35亿,6634999999.999999,46.85亿,4685000000.0,390.80,12.06,8.53亿,852999999.9999999,1.77亿,177000000.0,1.19亿,119000000.0,0.937,0.836,109.03,4.5
600292,远达环保,环保工程,7.81,60.98亿,6098000000.0,0.020,0.32,13.50万,92.46,96.76亿,9676000000.0,41.42亿,4142000000.0,55.34亿,5534000000.0,1905.52,46.16,9.87亿,986999999.9999999,3005.76万,30057600.000000004,1648.84万,16488400.0,1.295,1.173,76.39,2.02
300055,万邦达,环保工程,11.25,97.33亿,9733000000.0,0.139,2.28,39.39万,20.27,74.47亿,7447000000.0,18.97亿,1897000000.0,55.50亿,5550000000.0,236.42,212.79,3.01亿,301000000.0,1.32亿,132000000.0,1.20亿,120000000.0,2.963,2.830,66.91,60.34
688196,卓越新能,环保工程,57.47,68.96亿,6895999999.999999,0.480,2.37,8675,30.07,23.43亿,2343000000.0,6155.66万,61556600.0,22.81亿,2281000000.0,62.15,32.36,4.03亿,403000000.0,5905.84万,59058400.0,5732.99万,57329900.0,23.65,18.37,63.74,35.15
603568,伟明环保,环保工程,27.28,342.8亿,34280000000.0,0.293,6.48,6.48万,23.31,110.29亿,11029000000.0,52.61亿,5261000000.0,57.68亿,5768000000.0,87.27,72.16,7.51亿,751000000.0,4.09亿,409000000.0,3.68亿,368000000.0,1.857,1.711,53.63,44.78
002034,旺能环境,环保工程,16.53,69.65亿,6965000000.000001,0.348,3.02,2.91万,11.87,121.04亿,12104000000.0,71.71亿,7170999999.999999,49.33亿,4933000000.0,69.85,61.81,5.45亿,545000000.0,1.62亿,162000000.0,1.47亿,147000000.0,1.494,1.487,51.57,45.98
300816,艾可蓝,环保工程,79.60,63.68亿,6368000000.0,0.390,3.95,7441,51.23,12.93亿,1293000000.0,4.78亿,478000000.0,8.16亿,816000000.0,42.76,58.52,1.88亿,188000000.0,3556.73万,35567300.0,3107.82万,31078200.0,2.775,2.341,36.67,48.96
300056,中创环保,环保工程,6.73,25.94亿,2594000000.0,0.032,1.25,10.30万,53.13,15.22亿,1522000000.0,4.44亿,444000000.00000006,10.78亿,1078000000.0,553.83,3.03,2.93亿,293000000.0,2472.59万,24725900.0,1220.76万,12207600.0,2.438,1.470,35.72,0.47
688057,金达莱,环保工程,28.90,79.76亿,7976000000.000001,0.434,7.68,8040,21.57,36.50亿,3650000000.0,4.43亿,443000000.0,32.07亿,3207000000.0,35.91,35.14,2.03亿,202999999.99999997,1.06亿,106000000.0,9244.97万,92449700.0,9.080,8.688,34.86,34.19
600217,中再资环,环保工程,5.17,71.79亿,7179000000.000001,0.077,4.73,10.44万,16.85,64.00亿,6400000000.0,40.80亿,4079999999.9999995,23.20亿,2320000000.0,180.28,88.86,7.35亿,735000000.0,1.28亿,128000000.0,1.06亿,106000000.0,1.660,1.627,28.42,14.34
601330,绿色动力,环保工程,8.74,121.8亿,12180000000.0,0.130,3.28,9.37万,16.65,175.27亿,17527000000.0,115.40亿,11540000000.0,59.87亿,5987000000.0,93.69,38.11,5.98亿,598000000.0,2.21亿,221000000.0,1.83亿,183000000.0,0.657,0.648,25.46,11.01
003027,同兴环保,环保工程,23.87,31.03亿,3103000000.0,0.239,2.07,1.08万,25.01,19.69亿,1969000000.0000002,3.88亿,388000000.0,15.81亿,1581000000.0,45.58,48.47,1.55亿,155000000.0,4345.17万,43451700.0,3101.65万,31016500.0,,,23.82,25.2
603324,盛剑环境,环保工程,74.40,92.20亿,9220000000.0,0.130,1.21,5.31万,192.23,18.39亿,1839000000.0,5.65亿,565000000.0,12.75亿,1275000000.0,79.15,19.94,1.76亿,176000000.0,1410.18万,14101800.0,1199.03万,11990300.0,2.947,2.675,21.68,6.29
300692,中环环保,环保工程,6.95,29.45亿,2945000000.0,0.076,1.75,6.03万,22.93,44.70亿,4470000000.0,23.90亿,2390000000.0,20.80亿,2080000000.0,134.65,76.27,1.80亿,180000000.0,3819.94万,38199400.0,3210.27万,32102700.0,1.108,1.103,21.11,12.24
605081,太和水,环保工程,35.88,28.02亿,2802000000.0,0.150,0.77,5426,67.04,19.78亿,1978000000.0,2.20亿,220000000.00000003,17.59亿,1759000000.0,60.86,13.54,4578.37万,45783700.0,1063.81万,10638100.0,1045.08万,10450800.0,,,19.53,5.34
601200,上海环境,环保工程,11.27,126.4亿,12640000000.0,0.180,2.17,5.36万,15.61,280.50亿,28050000000.0,166.82亿,16682000000.0,113.67亿,11367000000.0,43.48,19.55,10.64亿,1064000000.0,3.09亿,309000000.0,2.03亿,202999999.99999997,0.525,0.451,17.18,8.57
603588,高能环境,环保工程,15.15,160.2亿,16019999999.999998,0.113,2.49,11.26万,33.58,150.46亿,15046000000.0,95.59亿,9559000000.0,54.87亿,5487000000.0,69.22,55.57,12.65亿,1265000000.0,1.52亿,152000000.0,1.19亿,119000000.0,1.136,0.899,16.6,13.52
300912,凯龙高科,环保工程,31.06,34.78亿,3478000000.0,0.120,1.12,7415,63.77,18.19亿,1819000000.0000002,5.85亿,585000000.0,12.35亿,1235000000.0,36.69,72.79,2.79亿,279000000.0,1619.81万,16198100.0,1363.36万,13633599.999999998,2.369,1.925,9.83,18.49
300388,节能国祯,环保工程,7.13,49.84亿,4984000000.0,0.090,1.71,2.37万,19.70,141.66亿,14166000000.0,101.23亿,10123000000.0,40.43亿,4043000000.0,32.66,17.27,7.63亿,763000000.0,8126.48万,81264800.0,6324.74万,63247400.0,0.887,0.822,6.64,3.87
