股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
688069,德林海,62.35,37.08亿,0.670,16.93亿,2.40亿,14.53亿,186.17,139.72,1.15亿,4643.79万,4011.71万,2.80,7311,23.11,6.537,6.296
688196,卓越新能,57.47,68.96亿,0.480,23.43亿,6155.66万,22.81亿,62.15,32.36,4.03亿,5905.84万,5732.99万,2.37,8675,30.07,23.65,18.37
300867,圣元环保,32.18,87.45亿,0.451,71.72亿,43.22亿,28.50亿,126.23,23.20,2.65亿,1.54亿,1.23亿,4.40,7.69万,17.82,1.359,1.332
688057,金达莱,28.90,79.76亿,0.434,36.50亿,4.43亿,32.07亿,35.91,35.14,2.03亿,1.06亿,9244.97万,7.68,8040,21.57,9.080,8.688
300816,艾可蓝,79.60,63.68亿,0.390,12.93亿,4.78亿,8.16亿,42.76,58.52,1.88亿,3556.73万,3107.82万,3.95,7441,51.23,2.775,2.341
002034,旺能环境,16.53,69.65亿,0.348,121.04亿,71.71亿,49.33亿,69.85,61.81,5.45亿,1.62亿,1.47亿,3.02,2.91万,11.87,1.494,1.487
601827,三峰环境,8.54,143.3亿,0.320,199.26亿,111.52亿,87.75亿,345.39,69.59,15.98亿,6.25亿,5.37亿,6.68,5.93万,6.67,1.242,1.084
603568,伟明环保,27.28,342.8亿,0.293,110.29亿,52.61亿,57.68亿,87.27,72.16,7.51亿,4.09亿,3.68亿,6.48,6.48万,23.31,1.857,1.711
300614,百川畅银,50.20,80.54亿,0.293,14.26亿,3.43亿,10.83亿,5.83,-1.29,1.25亿,4974.06万,4695.59万,4.44,6.22万,42.88,2.337,2.223
003027,同兴环保,23.87,31.03亿,0.239,19.69亿,3.88亿,15.81亿,45.58,48.47,1.55亿,4345.17万,3101.65万,2.07,1.08万,25.01,,
300864,南大环境,45.12,41.15亿,0.233,13.14亿,1.95亿,11.19亿,1.74,23.61,9440.75万,2561.24万,2123.31万,1.97,9919,48.45,6.482,6.439
688335,复洁环保,38.92,28.23亿,0.210,11.96亿,1.03亿,10.93亿,545.83,138.46,8135.10万,1746.39万,1536.08万,1.41,1.01万,45.94,10.82,10.33
601200,上海环境,11.27,126.4亿,0.180,280.50亿,166.82亿,113.67亿,43.48,19.55,10.64亿,3.09亿,2.03亿,2.17,5.36万,15.61,0.525,0.451
300958,建工修复,32.85,46.86亿,0.150,24.02亿,13.98亿,10.04亿,-,499.92,2.23亿,1792.63万,1637.88万,2.25,3.26万,71.53,1.610,1.603
605081,太和水,35.88,28.02亿,0.150,19.78亿,2.20亿,17.59亿,60.86,13.54,4578.37万,1063.81万,1045.08万,0.77,5426,67.04,,
300929,华骐环保,26.34,21.75亿,0.150,16.88亿,9.15亿,7.73亿,2.69,146.63,1.60亿,1289.94万,1121.87万,1.64,1.05万,48.47,1.983,1.893
300055,万邦达,11.25,97.33亿,0.139,74.47亿,18.97亿,55.50亿,236.42,212.79,3.01亿,1.32亿,1.20亿,2.28,39.39万,20.27,2.963,2.830
002479,富春环保,5.51,47.66亿,0.138,113.20亿,66.35亿,46.85亿,390.80,12.06,8.53亿,1.77亿,1.19亿,3.08,8.46万,10.01,0.937,0.836
603324,盛剑环境,74.40,92.20亿,0.130,18.39亿,5.65亿,12.75亿,79.15,19.94,1.76亿,1410.18万,1199.03万,1.21,5.31万,192.23,2.947,2.675
601330,绿色动力,8.74,121.8亿,0.130,175.27亿,115.40亿,59.87亿,93.69,38.11,5.98亿,2.21亿,1.83亿,3.28,9.37万,16.65,0.657,0.648
603903,中持股份,9.73,19.68亿,0.130,31.09亿,19.13亿,11.96亿,12.09,6.67,1.97亿,3498.31万,2584.23万,2.47,1.34万,19.04,0.947,0.913
300912,凯龙高科,31.06,34.78亿,0.120,18.19亿,5.85亿,12.35亿,36.69,72.79,2.79亿,1619.81万,1363.36万,1.12,7415,63.77,2.369,1.925
603200,上海洗霸,19.14,24.11亿,0.115,12.00亿,3.46亿,8.54亿,-41.27,10.72,1.42亿,1855.25万,1451.95万,1.79,4.06万,41.51,2.534,2.292
300422,博世科,8.75,35.50亿,0.115,120.40亿,92.10亿,28.31亿,-23.54,-9.66,5.71亿,5136.95万,4648.91万,1.83,4.61万,19.09,0.830,0.770
603588,高能环境,15.15,160.2亿,0.113,150.46亿,95.59亿,54.87亿,69.22,55.57,12.65亿,1.52亿,1.19亿,2.49,11.26万,33.58,1.136,0.899
688178,万德斯,26.25,22.31亿,0.110,16.94亿,5.60亿,11.34亿,12.77,76.64,1.20亿,1114.01万,966.32万,0.86,3482,57.72,2.776,2.627
300664,鹏鹞环保,6.38,45.57亿,0.103,68.61亿,30.06亿,38.55亿,16.57,21.13,4.00亿,9932.94万,7360.56万,2.07,8.00万,15.48,1.173,1.110
603797,联泰环保,6.80,39.72亿,0.095,88.48亿,68.30亿,20.18亿,11.25,33.24,1.81亿,6997.17万,5577.63万,3.25,1.15万,17.80,0.598,0.596
300388,节能国祯,7.13,49.84亿,0.090,141.66亿,101.23亿,40.43亿,32.66,17.27,7.63亿,8126.48万,6324.74万,1.71,2.37万,19.70,0.887,0.822
688156,路德环境,19.55,17.95亿,0.090,8.90亿,1.25亿,7.65亿,-,191.10,4948.68万,904.91万,838.53万,1.18,1.23万,53.53,5.453,5.374
600217,中再资环,5.17,71.79亿,0.077,64.00亿,40.80亿,23.20亿,180.28,88.86,7.35亿,1.28亿,1.06亿,4.73,10.44万,16.85,1.660,1.627
300692,中环环保,6.95,29.45亿,0.076,44.70亿,23.90亿,20.80亿,134.65,76.27,1.80亿,3819.94万,3210.27万,1.75,6.03万,22.93,1.108,1.103
603817,海峡环保,5.43,24.44亿,0.073,45.09亿,24.20亿,20.88亿,-3.18,30.95,1.91亿,3959.51万,3291.77万,1.80,1.93万,18.56,0.999,0.972
300190,维尔利,6.12,47.83亿,0.071,99.77亿,55.09亿,44.67亿,16.83,27.35,6.63亿,6376.82万,5550.17万,1.29,11.17万,21.55,1.603,1.429
002616,长青集团,6.42,47.63亿,0.066,90.53亿,62.46亿,28.07亿,-7.63,25.42,6.28亿,6442.37万,4868.09万,1.75,4.68万,24.46,1.689,1.559
301030,仕净科技,28.73,38.31亿,0.065,21.06亿,12.37亿,8.70亿,-,8215.34,1.05亿,1202.91万,873.11万,1.05,8.98万,109.68,,
300948,冠中生态,27.12,37.97亿,0.061,9.25亿,1.90亿,7.35亿,3.68,-0.32,4033.48万,973.86万,857.93万,1.74,3.32万,110.65,3.979,3.957
002573,清新环境,4.91,68.92亿,0.056,123.80亿,58.42亿,65.38亿,15.19,11.87,7.23亿,9259.14万,7856.94万,1.59,4.34万,21.93,1.732,1.437
688466,金科环境,21.08,21.66亿,0.050,14.00亿,4.18亿,9.81亿,28.61,18.18,6778.67万,569.43万,488.56万,0.50,5036,110.84,2.713,2.550
000035,中国天楹,4.37,110.3亿,0.049,516.97亿,393.01亿,123.96亿,13.27,14.65,57.85亿,2.37亿,1.22亿,1.05,7.79万,22.51,0.838,0.785
000967,盈峰环境,6.23,197.1亿,0.048,290.40亿,116.73亿,173.67亿,5.63,24.47,27.37亿,1.57亿,1.52亿,0.89,8.69万,32.46,1.652,1.502
603126,中材节能,8.70,53.11亿,0.046,41.45亿,19.79亿,21.66亿,-,111.78,8.00亿,4003.63万,2781.39万,1.51,15.41万,47.74,1.705,1.271
300425,中建环能,4.77,32.23亿,0.043,34.58亿,14.16亿,20.41亿,27.92,10.02,1.84亿,3211.22万,2933.11万,1.56,25.24万,27.72,1.511,1.187
300779,惠城环保,18.30,18.30亿,0.040,10.86亿,4.15亿,6.70亿,186.58,-9.23,6784.51万,522.62万,433.54万,0.65,2.87万,105.53,2.345,2.030
002672,东江环保,6.94,61.02亿,0.040,104.85亿,50.83亿,54.03亿,-42.80,14.19,7.51亿,4044.70万,3178.11万,0.70,3.03万,48.00,0.700,0.622
688565,力源科技,16.65,17.81亿,0.039,7.31亿,3.09亿,4.23亿,-,2997.04,4038.85万,421.25万,416.20万,0.99,9297,106.96,1.675,1.554
