gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
688169,石头科技,电器,1077.00,718.0亿,71800000000.0,4.730,4.32,4473,56.94,82.16亿,8216000000.0,7.60亿,760000000.0,74.56亿,7456000000.0,150.81,82.01,11.12亿,1112000000.0,3.70亿,370000000.0,3.15亿,315000000.0,8.309,7.884,1466.87,816.02
603486,科沃斯,电器,168.81,966.1亿,96610000000.0,0.582,10.19,7.76万,72.52,67.48亿,6748000000.0,33.07亿,3307000000.0,34.41亿,3440999999.9999995,726.61,131.04,22.25亿,2225000000.0,3.91亿,391000000.0,3.33亿,333000000.0,1.679,1.158,850.72,157.48
300911,亿田智能,电器,51.17,54.58亿,5458000000.0,0.276,2.83,1.68万,46.39,14.54亿,1454000000.0,3.99亿,399000000.0,10.55亿,1055000000.0000001,421.75,204.25,1.51亿,151000000.0,3610.61万,36106100.0,2941.60万,29416000.0,3.343,3.158,235.15,115.09
605117,德业股份,电器,196.87,336.0亿,33600000000.0,0.587,10.93,4.56万,83.79,18.04亿,1804000000.0,8.36亿,836000000.0,9.68亿,968000000.0,119.90,66.22,8.65亿,865000000.0,1.14亿,113999999.99999999,1.00亿,100000000.0,,,145.75,82.73
000651,格力电器,电器,48.25,2903亿,290300000000.0,0.580,2.95,52.31万,21.08,3061.81亿,306181000000.0,1915.52亿,191552000000.0,1146.29亿,114629000000.0,120.98,60.30,335.17亿,33517000000.0,39.63亿,3963000000.0000005,34.43亿,3443000000.0,1.312,1.134,145.27,74.88
603579,荣泰健康,电器,31.85,44.59亿,4459000000.0,0.490,4.06,1.74万,16.24,30.15亿,3015000000.0,13.06亿,1306000000.0,17.09亿,1709000000.0,131.82,59.49,5.20亿,520000000.0,7396.05万,73960500.0,6863.19万,68631900.0,2.595,2.166,133.35,62.47
000921,海信家电,电器,13.12,178.8亿,17880000000.0,0.160,2.21,11.68万,20.50,449.93亿,44993000000.0,302.64亿,30264000000.0,147.29亿,14729000000.0,400.66,83.70,139.35亿,13935000000.0,6.56亿,656000000.0,2.18亿,218000000.00000003,1.120,0.915,129.57,28.14
002677,浙江美大,电器,15.36,99.23亿,9923000000.0,0.160,5.74,7.67万,19.51,21.44亿,2144000000.0000002,3.45亿,345000000.0,17.99亿,1798999999.9999998,394.77,229.25,3.69亿,369000000.0,1.18亿,118000000.0,1.01亿,101000000.0,3.531,3.268,127.69,74.72
600690,海尔智家,电器,25.90,2433亿,243300000000.0,0.325,4.38,59.47万,19.92,2055.42亿,205542000000.0,1292.04亿,129204000000.0,763.38亿,76338000000.0,185.33,26.96,547.74亿,54774000000.0,36.62亿,3661999999.9999995,30.54亿,3054000000.0,1.075,0.775,123.23,20.29
600060,海信视像,电器,13.35,174.7亿,17470000000.0,0.160,1.29,15.13万,21.53,312.56亿,31256000000.0,137.34亿,13734000000.0,175.22亿,17522000000.0,294.87,53.43,103.78亿,10378000000.0,3.39亿,339000000.0,2.03亿,202999999.99999997,2.095,1.636,95.72,18.46
