股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
688169,石头科技,1077.00,718.0亿,4.730,82.16亿,7.60亿,74.56亿,150.81,82.01,11.12亿,3.70亿,3.15亿,4.32,4473,56.94,8.309,7.884
000333,美的集团,66.08,4659亿,0.917,3691.75亿,2448.05亿,1243.69亿,34.45,42.26,830.17亿,74.60亿,64.69亿,5.35,54.45万,18.01,1.318,1.150
002032,苏 泊 尔,53.39,436.1亿,0.618,123.23亿,47.11亿,76.13亿,64.59,43.42,51.36亿,6.39亿,5.05亿,6.78,2.66万,25.19,2.209,1.745
605117,德业股份,196.87,336.0亿,0.587,18.04亿,8.36亿,9.68亿,119.90,66.22,8.65亿,1.14亿,1.00亿,10.93,4.56万,83.79,,
603486,科沃斯,168.81,966.1亿,0.582,67.48亿,33.07亿,34.41亿,726.61,131.04,22.25亿,3.91亿,3.33亿,10.19,7.76万,72.52,1.679,1.158
000651,格力电器,48.25,2903亿,0.580,3061.81亿,1915.52亿,1146.29亿,120.98,60.30,335.17亿,39.63亿,34.43亿,2.95,52.31万,21.08,1.312,1.134
002959,小熊电器,53.16,83.17亿,0.574,36.24亿,15.61亿,20.63亿,-12.82,22.66,9.07亿,1.09亿,8985.06万,4.45,1.99万,23.14,1.829,1.511
002759,天际股份,37.56,151.0亿,0.510,33.14亿,4.41亿,28.73亿,-,177.75,7.53亿,2.46亿,2.05亿,7.40,30.32万,36.86,2.274,1.928
603579,荣泰健康,31.85,44.59亿,0.490,30.15亿,13.06亿,17.09亿,131.82,59.49,5.20亿,7396.05万,6863.19万,4.06,1.74万,16.24,2.595,2.166
003023,彩虹集团,27.07,21.94亿,0.460,20.92亿,7.50亿,13.42亿,48.88,51.38,2.88亿,4506.50万,3725.09万,2.92,3658,14.72,,
002508,老板电器,40.68,386.1亿,0.380,126.58亿,41.01亿,85.57亿,46.45,50.77,19.08亿,4.28亿,3.59亿,4.36,7.25万,26.90,2.734,2.377
603868,飞科电器,37.81,164.7亿,0.340,37.25亿,7.43亿,29.82亿,15.05,23.15,8.78亿,2.00亿,1.49亿,5.12,9989,27.68,3.099,2.416
603355,莱克电气,29.36,168.8亿,0.332,71.59亿,35.00亿,36.59亿,114.19,78.03,20.13亿,2.23亿,1.91亿,5.39,5.89万,22.11,1.827,1.547
600690,海尔智家,25.90,2433亿,0.325,2055.42亿,1292.04亿,763.38亿,185.33,26.96,547.74亿,36.62亿,30.54亿,4.38,59.47万,19.92,1.075,0.775
300911,亿田智能,51.17,54.58亿,0.276,14.54亿,3.99亿,10.55亿,421.75,204.25,1.51亿,3610.61万,2941.60万,2.83,1.68万,46.39,3.343,3.158
002035,华帝股份,6.93,60.24亿,0.275,62.91亿,29.27亿,33.64亿,45.42,59.46,26.59亿,2.92亿,2.39亿,7.29,27.57万,12.59,1.598,1.298
