gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
300242,佳云科技,软件,4.53,28.75亿,2875000000.0,0.066,5.94,11.45万,17.18,21.59亿,2159000000.0,13.83亿,1383000000.0,7.76亿,776000000.0,3873.23,6.39,18.90亿,1889999999.9999998,6669.11万,66691100.0,4184.16万,41841600.0,1.479,1.479,511.83,1.4
688188,柏楚电子,软件,498.08,499.6亿,49960000000.0,1.180,4.64,5550,105.49,27.21亿,2721000000.0,2.26亿,225999999.99999997,24.95亿,2495000000.0,126.39,147.00,1.88亿,188000000.0,1.40亿,140000000.0,1.18亿,118000000.0,11.00,10.76,308.31,356.95
688109,品茗股份,软件,69.15,37.60亿,3760000000.0,0.330,4.68,3255,70.21,9.79亿,978999999.9999999,8026.53万,80265300.0,8.99亿,899000000.0,369.86,94.14,7315.80万,73158000.0,1507.51万,15075100.0,1338.82万,13388200.0,13.85,13.55,246.91,64.94
688111,金山办公,软件,336.00,1549亿,154900000000.0,0.667,4.39,3.03万,125.97,88.72亿,8872000000.0,16.53亿,1653000000.0,72.19亿,7219000000.0,178.65,107.74,7.73亿,773000000.0,3.61亿,361000000.0,3.07亿,307000000.0,5.959,5.957,243.99,149.39
688318,财富趋势,软件,166.84,111.2亿,11120000000.0,0.780,1.78,1.34万,53.54,30.74亿,3074000000.0,1.23亿,123000000.0,29.51亿,2951000000.0,151.53,83.73,6056.19万,60561899.99999999,6073.81万,60738100.00000001,5193.68万,51936800.0,20.22,20.22,243.02,137.25
603444,吉比特,软件,441.80,317.5亿,31750000000.0,5.080,9.16,9636,21.73,61.28亿,6128000000.0,14.24亿,1424000000.0,47.04亿,4704000000.0,13.36,51.09,11.18亿,1118000000.0,5.42亿,542000000.0,3.65亿,365000000.0,2.740,2.740,178.92,562.25
002649,博彦科技,软件,9.71,51.74亿,5174000000.0,0.106,1.83,11.14万,22.90,44.81亿,4481000000.0,13.19亿,1319000000.0,31.61亿,3161000000.0,772.43,26.05,11.44亿,1144000000.0,5794.55万,57945500.0,5647.14万,56471400.0,3.841,3.800,164.66,6.42
300803,指南针,软件,35.90,145.4亿,14540000000.0,0.240,8.25,9.56万,37.68,18.62亿,1862000000.0,6.44亿,644000000.0,12.17亿,1217000000.0,242.57,115.26,3.29亿,329000000.0,1.16亿,115999999.99999999,9647.16万,96471600.0,8.136,8.134,118.47,57.36
002987,京北方,软件,25.54,57.45亿,5745000000.0,0.233,2.91,2.34万,27.43,21.54亿,2154000000.0,3.29亿,329000000.0,18.25亿,1825000000.0,116.57,69.52,6.93亿,693000000.0,5319.65万,53196500.0,5234.80万,52348000.0,6.555,6.525,56.3,34.38
600751,海航科技,软件,3.13,90.75亿,9075000000.0,0.139,10.11,108.71万,5.62,1208.00亿,120800000000.0,1135.82亿,113582000000.0,72.18亿,7218000000.000001,170.09,10.44,850.97亿,85097000000.0,9.50亿,950000000.0,4.04亿,404000000.0,0.989,0.666,48.47,4.08
300830,金现代,软件,9.39,40.39亿,4039000000.0,0.010,0.46,6.49万,196.44,11.66亿,1166000000.0,5086.49万,50864900.0,11.15亿,1115000000.0,2240.05,24.95,6019.52万,60195200.00000001,597.08万,5970800.0,514.00万,5140000.0,22.58,20.31,44.89,0.58
688258,卓易信息,软件,45.09,39.21亿,3921000000.0,0.200,1.90,1.29万,56.76,11.05亿,1105000000.0,1.86亿,186000000.0,9.19亿,919000000.0,87.40,56.18,4475.52万,44755200.00000001,1986.63万,19866300.0,1727.04万,17270400.0,5.275,5.147,36.66,24.17
300002,神州泰岳,软件,4.65,91.19亿,9119000000.0,0.040,1.94,40.77万,29.55,53.14亿,5314000000.0,12.77亿,1277000000.0,40.38亿,4038000000.0000005,432.71,71.43,9.48亿,948000000.0,1.05亿,105000000.0,7714.70万,77147000.0,1.650,1.435,34.96,6.05
300578,会畅通讯,软件,27.88,48.48亿,4848000000.0,0.158,2.09,4.87万,44.42,17.01亿,1701000000.0000002,3.58亿,358000000.0,13.44亿,1344000000.0,103.60,31.00,1.63亿,163000000.0,3143.67万,31436700.0,2728.50万,27285000.0,2.408,1.839,34.08,11.14
