股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
603444,吉比特,441.80,317.5亿,5.080,61.28亿,14.24亿,47.04亿,13.36,51.09,11.18亿,5.42亿,3.65亿,9.16,9636,21.73,2.740,2.740
688188,柏楚电子,498.08,499.6亿,1.180,27.21亿,2.26亿,24.95亿,126.39,147.00,1.88亿,1.40亿,1.18亿,4.64,5550,105.49,11.00,10.76
688318,财富趋势,166.84,111.2亿,0.780,30.74亿,1.23亿,29.51亿,151.53,83.73,6056.19万,6073.81万,5193.68万,1.78,1.34万,53.54,20.22,20.22
688111,金山办公,336.00,1549亿,0.667,88.72亿,16.53亿,72.19亿,178.65,107.74,7.73亿,3.61亿,3.07亿,4.39,3.03万,125.97,5.959,5.957
688095,福昕软件,227.00,109.3亿,0.640,31.92亿,1.71亿,30.21亿,-1.49,11.05,1.27亿,3655.41万,3083.14万,1.02,4152,88.61,19.48,19.48
300508,维宏股份,52.08,47.35亿,0.485,7.81亿,1.78亿,6.02亿,-,156.54,2.17亿,5088.52万,4412.69万,7.60,7.99万,53.65,3.121,2.523
603258,电魂网络,23.92,59.19亿,0.412,30.89亿,7.17亿,23.72亿,0.44,8.48,2.63亿,1.26亿,1.02亿,4.48,1.19万,14.51,3.024,3.023
688109,品茗股份,69.15,37.60亿,0.330,9.79亿,8026.53万,8.99亿,369.86,94.14,7315.80万,1507.51万,1338.82万,4.68,3255,70.21,13.85,13.55
300033,同花顺,97.32,523.2亿,0.320,65.60亿,18.09亿,47.51亿,33.66,37.95,5.30亿,1.96亿,1.70亿,3.19,7.93万,77.15,3.373,3.373
300031,宝通科技,14.46,57.37亿,0.309,48.03亿,15.37亿,32.66亿,3.60,14.53,7.33亿,1.28亿,1.23亿,3.93,7.33万,11.69,1.761,1.540
300773,拉卡拉,24.73,197.8亿,0.290,113.73亿,65.54亿,48.19亿,37.51,50.47,15.89亿,2.76亿,2.31亿,4.64,7.31万,21.39,1.320,1.318
300518,盛讯达,36.60,37.24亿,0.290,13.76亿,4.36亿,9.40亿,-47.21,126.84,9258.78万,6439.41万,2914.55万,3.31,1.19万,31.94,1.886,1.880
900926,宝信Ｂ,3.619,54.38亿,0.264,144.85亿,65.08亿,79.77亿,44.39,43.47,18.62亿,4.50亿,3.96亿,5.27,1.49万,22.55,1.761,1.284
600845,宝信软件,68.68,1032亿,0.264,144.85亿,65.08亿,79.77亿,44.39,43.47,18.62亿,4.50亿,3.96亿,5.27,12.54万,65.12,1.761,1.284
003005,竞业达,36.41,38.59亿,0.253,18.12亿,4.10亿,14.02亿,-,365.46,1.37亿,3086.72万,2681.25万,1.93,9232,35.99,,
300377,赢时胜,10.72,80.62亿,0.244,32.10亿,2.51亿,29.59亿,-,63.75,1.97亿,1.98亿,1.84亿,6.44,30.24万,10.96,6.123,6.071
300552,万集科技,28.59,56.59亿,0.240,25.91亿,5.24亿,20.67亿,-85.74,-45.09,4.18亿,4513.71万,4659.49万,2.18,4.88万,60.72,4.179,3.409
300803,指南针,35.90,145.4亿,0.240,18.62亿,6.44亿,12.17亿,242.57,115.26,3.29亿,1.16亿,9647.16万,8.25,9.56万,37.68,8.136,8.134
000034,神州数码,17.86,117.8亿,0.236,323.13亿,265.57亿,57.56亿,31.45,33.69,240.19亿,2.11亿,1.55亿,3.30,27.88万,18.96,1.063,0.702
002987,京北方,25.54,57.45亿,0.233,21.54亿,3.29亿,18.25亿,116.57,69.52,6.93亿,5319.65万,5234.80万,2.91,2.34万,27.43,6.555,6.525
300624,万兴科技,52.02,67.60亿,0.230,10.49亿,1.79亿,8.70亿,-10.09,28.45,2.53亿,3980.86万,2933.10万,3.38,3.54万,57.62,3.982,3.980
002174,游族网络,13.42,122.9亿,0.205,82.42亿,30.10亿,52.32亿,-48.37,-22.05,9.44亿,1.90亿,1.87亿,3.64,16.82万,16.39,1.699,1.699
605398,新炬网络,39.70,23.62亿,0.200,11.20亿,1.78亿,9.42亿,-10.19,23.10,9954.42万,1332.34万,1077.47万,1.41,4668,54.81,,
688258,卓易信息,45.09,39.21亿,0.200,11.05亿,1.86亿,9.19亿,87.40,56.18,4475.52万,1986.63万,1727.04万,1.90,1.29万,56.76,5.275,5.147
