gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
600036,招商银行,银行,47.71,12032亿,1203200000000.0,1.270,4.88,83.61万,9.40,8.66万亿,8660000000000.0,7.90万亿,7900000000000.0,7618.54亿,761854000000.0,15.18,10.64,847.51亿,84751000000.0,400.93亿,40093000000.0,320.15亿,32014999999.999996,,,49.35,37.82
601166,兴业银行,银行,17.90,3719亿,371900000000.0,1.150,4.40,138.87万,3.90,7.99万亿,7990000000000.0,7.34万亿,7340000000000.0,6497.01亿,649701000000.0,13.67,10.75,556.63亿,55663000000.0,279.29亿,27929000000.000004,238.53亿,23853000000.0,,,41.22,34.5
002142,宁波银行,银行,33.33,2002亿,200200000000.0,0.790,4.46,35.52万,10.57,1.72万亿,1720000000000.0,1.60万亿,1600000000000.0,1237.46亿,123746000000.0,18.32,21.80,132.26亿,13226000000.0,51.35亿,5135000000.0,47.35亿,4735000000.0,,,35.66,41.16
601838,成都银行,银行,10.99,397.0亿,39700000000.0,0.460,4.09,27.07万,5.95,7137.41亿,713741000000.0,6659.69亿,665969000000.0,477.71亿,47771000000.0,18.10,19.93,41.10亿,4110000000.0,18.74亿,1873999999.9999998,16.69亿,1669000000.0000002,,,20.56,22.25
000001,平安银行,银行,18.01,3495亿,349500000000.0,0.420,2.72,115.99万,8.62,4.57万亿,4570000000000.0,4.20万亿,4200000000000.0,3726.17亿,372617000000.0,18.53,10.18,417.88亿,41788000000.0,128.74亿,12874000000.0,101.32亿,10132000000.0,,,19.14,12.12
600919,江苏银行,银行,6.33,934.9亿,93490000000.0,0.354,3.18,111.41万,4.47,2.50万亿,2500000000000.0,2.32万亿,2320000000000.0,1872.18亿,187218000000.0,22.79,17.06,153.39亿,15338999999.999998,65.54亿,6554000000.000001,52.25亿,5225000000.0,,,19.14,15.09
600926,杭州银行,银行,12.41,735.9亿,73590000000.0,0.380,3.44,29.47万,7.31,1.23万亿,1230000000000.0,1.15万亿,1150000000000.0,829.85亿,82985000000.0,16.33,14.15,75.77亿,7577000000.0,30.60亿,3060000000.0,25.18亿,2518000000.0,,,15.64,13.98
601009,南京银行,银行,8.85,885.6亿,88560000000.0,0.410,4.14,52.68万,5.40,1.62万亿,1620000000000.0,1.51万亿,1510000000000.0,1120.71亿,112071000000.0,9.30,1.64,101.98亿,10198000000.0,49.96亿,4996000000.0,40.99亿,4099000000.0,,,11.11,4.83
002966,苏州银行,银行,6.90,230.0亿,23000000000.0,0.270,2.95,25.92万,6.46,4317.12亿,431712000000.0,3995.39亿,399539000000.0,321.73亿,32173000000.0,14.74,7.75,28.58亿,2858000000.0,11.17亿,1117000000.0,8.90亿,890000000.0,,,10.25,6.48
601577,长沙银行,银行,7.88,316.9亿,31689999999.999996,0.470,4.12,9.15万,4.92,7349.54亿,734954000000.0,6817.46亿,681746000000.0,532.07亿,53207000000.00001,5.07,1.20,48.10亿,4810000000.0,20.27亿,2027000000.0,16.11亿,1611000000.0,,,8.76,5.12
600015,华夏银行,银行,5.55,854.0亿,85400000000.0,0.290,2.02,20.30万,3.99,3.47万亿,3470000000000.0,3.18万亿,3180000000000.0,2875.11亿,287511000000.0,10.64,0.07,236.11亿,23611000000.0,70.81亿,7081000000.0,53.55亿,5355000000.0,,,8.64,2.51
601229,上海银行,银行,7.22,1026亿,102600000000.0,0.390,3.21,18.22万,4.62,2.55万亿,2550000000000.0,2.36万亿,2360000000000.0,1954.27亿,195427000000.0,6.04,5.62,138.22亿,13822000000.0,61.21亿,6121000000.0,55.54亿,5554000000.0,,,8.03,7.7
601998,中信银行,银行,4.58,2241亿,224100000000.0,0.320,3.32,19.21万,3.58,7.79万亿,7790000000000.0,7.21万亿,7210000000000.0,5757.41亿,575741000000.0,8.22,0.79,519.14亿,51914000000.0,186.13亿,18613000000.0,156.41亿,15641000000.0,,,7.98,3.23
601963,重庆银行,银行,9.15,317.9亿,31789999999.999996,0.410,3.86,13.25万,5.54,5860.59亿,586059000000.0,5391.19亿,539118999999.99994,469.40亿,46940000000.0,4.11,9.33,36.56亿,3656000000.0,18.63亿,1863000000.0,14.34亿,1434000000.0,,,6.86,11.14
