股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
600036,招商银行,47.71,12032亿,1.270,8.66万亿,7.90万亿,7618.54亿,15.18,10.64,847.51亿,400.93亿,320.15亿,4.88,83.61万,9.40,,
601166,兴业银行,17.90,3719亿,1.150,7.99万亿,7.34万亿,6497.01亿,13.67,10.75,556.63亿,279.29亿,238.53亿,4.40,138.87万,3.90,,
002142,宁波银行,33.33,2002亿,0.790,1.72万亿,1.60万亿,1237.46亿,18.32,21.80,132.26亿,51.35亿,47.35亿,4.46,35.52万,10.57,,
600000,浦发银行,9.13,2680亿,0.637,8.07万亿,7.40万亿,6634.65亿,7.70,-10.65,495.22亿,223.07亿,186.97亿,3.35,45.71万,3.58,,
601577,长沙银行,7.88,316.9亿,0.470,7349.54亿,6817.46亿,532.07亿,5.07,1.20,48.10亿,20.27亿,16.11亿,4.12,9.15万,4.92,,
601838,成都银行,10.99,397.0亿,0.460,7137.41亿,6659.69亿,477.71亿,18.10,19.93,41.10亿,18.74亿,16.69亿,4.09,27.07万,5.95,,
601997,贵阳银行,6.68,244.2亿,0.430,5983.30亿,5523.21亿,460.09亿,4.39,-14.70,35.38亿,18.11亿,15.72亿,4.06,16.64万,3.89,,
000001,平安银行,18.01,3495亿,0.420,4.57万亿,4.20万亿,3726.17亿,18.53,10.18,417.88亿,128.74亿,101.32亿,2.72,115.99万,8.62,,
601963,重庆银行,9.15,317.9亿,0.410,5860.59亿,5391.19亿,469.40亿,4.11,9.33,36.56亿,18.63亿,14.34亿,3.86,13.25万,5.54,,
601009,南京银行,8.85,885.6亿,0.410,1.62万亿,1.51万亿,1120.71亿,9.30,1.64,101.98亿,49.96亿,40.99亿,4.14,52.68万,5.40,,
601229,上海银行,7.22,1026亿,0.390,2.55万亿,2.36万亿,1954.27亿,6.04,5.62,138.22亿,61.21亿,55.54亿,3.21,18.22万,4.62,,
600926,杭州银行,12.41,735.9亿,0.380,1.23万亿,1.15万亿,829.85亿,16.33,14.15,75.77亿,30.60亿,25.18亿,3.44,29.47万,7.31,,
600919,江苏银行,6.33,934.9亿,0.354,2.50万亿,2.32万亿,1872.18亿,22.79,17.06,153.39亿,65.54亿,52.25亿,3.18,111.41万,4.47,,
600016,民生银行,4.01,1756亿,0.340,7.06万亿,6.51万亿,5567.54亿,-11.43,-12.69,430.72亿,168.86亿,147.47亿,3.16,80.08万,2.98,,
601169,北京银行,4.34,917.6亿,0.330,3.03万亿,2.80万亿,2282.09亿,3.46,-3.24,172.65亿,79.92亿,68.98亿,3.37,67.20万,3.33,,
601939,建设银行,5.79,14476亿,0.330,29.38万亿,26.91万亿,2.47万亿,2.80,3.40,2165.23亿,1003.20亿,831.15亿,3.60,92.10万,4.35,,
601998,中信银行,4.58,2241亿,0.320,7.79万亿,7.21万亿,5757.41亿,8.22,0.79,519.14亿,186.13亿,156.41亿,3.32,19.21万,3.58,,
601328,交通银行,4.32,3208亿,0.300,11.17万亿,10.27万亿,9020.96亿,2.31,5.14,683.44亿,249.66亿,219.46亿,2.95,91.76万,3.65,,
601077,渝农商行,3.82,433.8亿,0.290,1.19万亿,1.09万亿,979.94亿,5.48,7.42,74.87亿,40.49亿,32.48亿,3.42,41.27万,3.34,,
600015,华夏银行,5.55,854.0亿,0.290,3.47万亿,3.18万亿,2875.11亿,10.64,0.07,236.11亿,70.81亿,53.55亿,2.02,20.30万,3.99,,
002966,苏州银行,6.90,230.0亿,0.270,4317.12亿,3995.39亿,321.73亿,14.74,7.75,28.58亿,11.17亿,8.90亿,2.95,25.92万,6.46,,
601658,邮储银行,4.84,4471亿,0.240,11.96万亿,11.21万亿,7509.81亿,5.51,7.15,773.30亿,242.24亿,212.01亿,3.70,158.37万,5.27,,
601398,工商银行,4.60,16395亿,0.240,34.37万亿,31.37万亿,2.99万亿,1.46,3.18,2341.91亿,1084.20亿,857.30亿,3.16,214.32万,4.78,,
601818,光大银行,3.33,1799亿,0.213,5.58万亿,5.12万亿,4644.79亿,6.32,3.72,386.91亿,145.61亿,115.15亿,2.78,130.36万,3.91,,
601187,厦门银行,8.57,226.2亿,0.200,2865.76亿,2647.63亿,218.13亿,5.37,-16.68,11.56亿,5.81亿,5.38亿,2.89,14.45万,10.51,,
600908,无锡银行,5.78,107.6亿,0.195,1911.13亿,1766.12亿,145.02亿,5.96,3.62,10.99亿,4.13亿,3.63亿,2.56,18.31万,6.90,,
601128,常熟银行,5.89,161.4亿,0.190,2294.53亿,2096.67亿,197.87亿,4.84,5.03,17.83亿,7.05亿,5.34亿,2.92,41.75万,8.09,,
601288,农业银行,2.94,10290亿,0.180,28.55万亿,26.28万亿,2.27万亿,2.61,4.15,1944.52亿,808.30亿,658.61亿,3.41,236.23万,3.91,,
002839,张家港行,5.65,102.1亿,0.180,1484.24亿,1367.09亿,117.15亿,14.20,6.73,10.73亿,3.70亿,3.34亿,2.93,57.00万,8.66,,
601988,中国银行,3.01,8861亿,0.180,25.83万亿,23.65万亿,2.19万亿,2.67,6.58,1578.55亿,720.58亿,539.89亿,3.04,160.14万,4.10,,
601916,浙商银行,3.64,774.2亿,0.170,2.06万亿,1.92万亿,1363.13亿,1.06,-3.43,130.02亿,58.21亿,45.76亿,3.70,24.94万,4.23,,
601528,瑞丰银行,11.21,169.2亿,0.166,1328.83亿,1213.57亿,115.26亿,7.19,-3.75,7.51亿,2.55亿,2.51亿,2.25,25.82万,16.83,,
002958,青农商行,3.92,217.8亿,0.164,4232.92亿,3906.35亿,326.58亿,6.96,-6.08,26.60亿,10.21亿,9.13亿,3.34,33.14万,5.96,,
601665,齐鲁银行,6.66,305.1亿,0.164,3834.74亿,3528.81亿,305.93亿,8.21,14.36,22.32亿,8.67亿,7.53亿,3.36,46.74万,10.13,,
600928,西安银行,4.33,192.4亿,0.160,3106.13亿,2842.77亿,263.36亿,-8.04,7.73,18.94亿,8.41亿,7.08亿,2.73,13.38万,6.79,,
002936,郑州银行,3.46,260.0亿,0.150,5543.88亿,5072.15亿,471.73亿,2.76,-14.35,31.94亿,14.30亿,11.25亿,3.02,12.13万,5.78,,
603323,苏农银行,4.67,84.20亿,0.141,1428.21亿,1303.36亿,124.85亿,4.78,-0.82,9.19亿,2.92亿,2.54亿,2.08,24.03万,8.28,,
002948,青岛银行,4.65,209.7亿,0.140,4649.73亿,4332.04亿,317.69亿,16.34,-2.57,28.40亿,7.17亿,6.45亿,2.83,13.49万,8.12,,
002807,江阴银行,3.79,82.32亿,0.105,1439.84亿,1315.39亿,124.45亿,8.61,-4.29,8.15亿,1.76亿,2.28亿,1.87,13.46万,9.02,,
601860,紫金银行,3.25,119.0亿,0.090,2283.85亿,2131.90亿,151.94亿,2.18,-22.14,10.39亿,3.74亿,3.30亿,2.20,22.18万,9.02,,
