gpdm,gpmc,gplx,zxj,zsz,zsz_d,mgsy,roe,cjl_hand,syl_dynamic,zzc,zzc_d,zfz,zfz_d,gdqyhj,gdqyhj_d,jlrtb,ystbl,zys,zys_d,zlr,zlr_d,jlr,jlr_d,ldbl,sdbl,gsnzjz_jlr,gsnzjz_ys
300898,熊猫乳品,食品饮料,33.26,41.24亿,4124000000.0,0.117,1.88,1.52万,70.82,9.34亿,934000000.0,1.37亿,137000000.0,7.98亿,798000000.0,3345.08,114.59,1.97亿,197000000.0,2126.99万,21269899.999999996,1455.94万,14559400.0,4.825,3.798,783.74,27.81
300973,立高食品,食品饮料,138.02,233.7亿,23370000000.0,0.432,10.62,1.81万,79.87,11.54亿,1154000000.0,4.29亿,429000000.0,7.25亿,725000000.0,300.50,130.54,5.79亿,579000000.0,9219.99万,92199900.0,7315.32万,73153200.0,1.203,0.754,263.3,116.46
603517,绝味食品,食品饮料,71.49,439.1亿,43910000000.0,0.384,4.64,5.58万,46.54,62.26亿,6226000000.0,9.95亿,994999999.9999999,52.31亿,5231000000.0,274.69,41.22,15.06亿,1506000000.0,3.15亿,315000000.0,2.36亿,236000000.0,2.579,1.875,214.23,34.92
605499,东鹏饮料,食品饮料,201.40,805.6亿,80560000000.0,1.843,26.26,3.34万,59.60,70.97亿,7097000000.0,27.76亿,2776000000.0,43.21亿,4321000000.0,53.14,49.11,36.82亿,3682000000.0,8.60亿,860000000.0,6.76亿,676000000.0,,,211.54,196.68
605337,李子园,食品饮料,47.42,102.8亿,10280000000.0,0.247,5.42,3.33万,48.07,18.82亿,1882000000.0,4.08亿,408000000.0,14.74亿,1474000000.0,306.77,127.30,3.31亿,331000000.0,7050.15万,70501500.0,5344.34万,53443400.0,,,153.64,64.99
603345,安井食品,食品饮料,174.00,425.3亿,42530000000.0,0.740,4.23,2.99万,61.21,72.81亿,7281000000.0,25.93亿,2593000000.0,46.88亿,4688000000.0,97.83,47.35,18.84亿,1884000000.0,2.27亿,227000000.0,1.74亿,174000000.0,1.762,0.968,151.08,76.37
600887,伊利股份,食品饮料,34.30,2086亿,208600000000.0,0.465,8.93,85.26万,18.42,838.04亿,83804000000.0,495.50亿,49550000000.0,342.54亿,34254000000.000004,147.69,32.49,273.63亿,27363000000.0,34.02亿,3402000000.0000005,28.31亿,2831000000.0,0.832,0.641,141.3,34.17
002732,燕塘乳业,食品饮料,27.64,43.49亿,4349000000.0,0.710,10.15,4.29万,19.51,15.75亿,1575000000.0,4.15亿,415000000.00000006,11.60亿,1160000000.0,85.43,34.88,9.48亿,948000000.0,1.33亿,133000000.0,1.11亿,111000000.00000001,1.354,0.960,127.35,55.56
300915,海融科技,食品饮料,54.73,49.26亿,4926000000.0,0.182,1.24,1.05万,75.02,14.61亿,1461000000.0,1.22亿,122000000.0,13.39亿,1339000000.0,323.75,43.91,1.57亿,157000000.0,1985.33万,19853300.0,1641.50万,16415000.0,11.14,10.57,119.39,17.53
300783,三只松鼠,食品饮料,40.14,161.0亿,16100000000.0,0.790,14.19,3.84万,12.77,43.94亿,4394000000.0,21.02亿,2102000000.0,22.92亿,2292000000.0,67.57,7.58,36.71亿,3671000000.0,4.23亿,423000000.00000006,3.15亿,315000000.0,1.992,1.644,113.48,18.69
002847,盐津铺子,食品饮料,55.74,72.11亿,7211000000.0,0.660,9.73,3.44万,21.97,20.89亿,2089000000.0,12.30亿,1230000000.0,8.60亿,860000000.0,43.41,27.45,5.92亿,592000000.0,9246.38万,92463799.99999999,8203.28万,82032800.0,0.772,0.507,62.91,41.84
605339,南侨食品,食品饮料,34.93,147.9亿,14790000000.0,0.231,4.90,5.70万,37.88,30.27亿,3027000000.0,9.83亿,983000000.0,20.44亿,2044000000.0000002,126.99,49.69,6.48亿,648000000.0,1.23亿,123000000.0,9764.67万,97646700.0,,,60.63,24.92
002852,道道全,食品饮料,13.16,38.03亿,3803000000.0,0.300,4.38,2.02万,11.65,35.25亿,3525000000.0,15.56亿,1556000000.0,19.69亿,1969000000.0000002,95.31,33.98,12.99亿,1299000000.0,9330.23万,93302300.0,8163.05万,81630500.0,1.197,0.731,59.74,22.94
002840,华统股份,食品饮料,8.54,38.23亿,3822999999.9999995,0.224,5.70,3.14万,9.55,58.33亿,5833000000.0,34.74亿,3474000000.0,23.59亿,2359000000.0,126.54,23.66,26.38亿,2638000000.0,1.31亿,131000000.0,1.00亿,100000000.0,1.021,0.741,58.59,12.5
