股票代码,股票名称,最新价,总市值,每股收益,总资产,总负债,股东权益合计,净利润同比,营收同比率,总营收,总利润,净利润,净资产收益率-ROE,成交量-手,市盈率-动态,流动比率,速动比率
605499,东鹏饮料,201.40,805.6亿,1.843,70.97亿,27.76亿,43.21亿,53.14,49.11,36.82亿,8.60亿,6.76亿,26.26,3.34万,59.60,,
600298,安琪酵母,47.83,398.4亿,0.994,120.09亿,51.68亿,68.41亿,15.14,20.55,52.34亿,9.78亿,8.28亿,13.28,12.10万,24.06,1.358,0.761
300783,三只松鼠,40.14,161.0亿,0.790,43.94亿,21.02亿,22.92亿,67.57,7.58,36.71亿,4.23亿,3.15亿,14.19,3.84万,12.77,1.992,1.644
603345,安井食品,174.00,425.3亿,0.740,72.81亿,25.93亿,46.88亿,97.83,47.35,18.84亿,2.27亿,1.74亿,4.23,2.99万,61.21,1.762,0.968
002732,燕塘乳业,27.64,43.49亿,0.710,15.75亿,4.15亿,11.60亿,85.43,34.88,9.48亿,1.33亿,1.11亿,10.15,4.29万,19.51,1.354,0.960
002847,盐津铺子,55.74,72.11亿,0.660,20.89亿,12.30亿,8.60亿,43.41,27.45,5.92亿,9246.38万,8203.28万,9.73,3.44万,21.97,0.772,0.507
603156,养元饮品,27.50,348.0亿,0.584,140.67亿,15.03亿,125.64亿,40.42,75.04,22.37亿,9.45亿,7.39亿,6.05,3.93万,11.78,7.672,7.305
002626,金达威,35.45,218.5亿,0.490,57.63亿,19.35亿,38.27亿,38.37,12.60,9.01亿,3.59亿,3.00亿,8.39,6.47万,18.20,2.152,1.405
300146,汤臣倍健,28.51,484.8亿,0.480,97.49亿,30.51亿,66.98亿,52.70,48.66,22.23亿,10.57亿,8.16亿,11.11,19.33万,14.85,1.938,1.647
002507,涪陵榨菜,29.26,259.7亿,0.470,76.70亿,6.00亿,70.70亿,-6.97,12.46,13.47亿,4.46亿,3.76亿,10.45,25.54万,34.52,11.71,10.59
600887,伊利股份,34.30,2086亿,0.465,838.04亿,495.50亿,342.54亿,147.69,32.49,273.63亿,34.02亿,28.31亿,8.93,85.26万,18.42,0.832,0.641
603288,海天味业,117.79,4962亿,0.464,291.52亿,70.31亿,221.22亿,21.13,21.65,71.58亿,23.54亿,19.53亿,9.28,9.46万,63.51,3.570,3.306
002991,甘源食品,54.44,50.75亿,0.440,17.98亿,3.36亿,14.62亿,12.46,38.84,3.38亿,5507.75万,4115.48万,2.85,1.32万,30.83,5.861,5.406
300741,华宝股份,43.01,264.9亿,0.440,85.11亿,3.76亿,81.35亿,1.91,4.92,4.67亿,3.30亿,2.74亿,3.48,1.81万,24.18,18.89,17.65
300973,立高食品,138.02,233.7亿,0.432,11.54亿,4.29亿,7.25亿,300.50,130.54,5.79亿,9219.99万,7315.32万,10.62,1.81万,79.87,1.203,0.754
300401,花园生物,13.81,76.09亿,0.430,35.08亿,4.18亿,30.89亿,44.94,1.29,3.50亿,2.75亿,2.36亿,7.81,7.45万,16.15,4.837,3.994
000895,双汇发展,26.41,915.0亿,0.416,371.57亿,115.89亿,255.68亿,-1.61,4.13,183.18亿,18.77亿,14.41亿,5.89,40.36万,15.87,2.240,1.704
300908,仲景食品,52.47,52.47亿,0.400,16.14亿,1.10亿,15.04亿,40.56,26.11,2.07亿,4682.67万,4046.36万,2.73,1.19万,32.42,14.62,12.43
002557,洽洽食品,39.01,197.8亿,0.390,72.48亿,28.70亿,43.78亿,32.70,20.22,13.79亿,2.48亿,1.98亿,4.62,7.17万,25.03,3.476,2.599
603517,绝味食品,71.49,439.1亿,0.384,62.26亿,9.95亿,52.31亿,274.69,41.22,15.06亿,3.15亿,2.36亿,4.64,5.58万,46.54,2.579,1.875
600873,梅花生物,6.05,187.5亿,0.324,198.81亿,104.52亿,94.29亿,57.96,35.51,110.27亿,12.09亿,10.04亿,10.64,36.59万,9.33,1.103,0.620
300791,仙乐健康,66.71,120.1亿,0.319,27.38亿,4.96亿,22.42亿,14.68,41.60,5.08亿,6984.86万,5736.04万,2.61,2.54万,52.33,3.189,2.353
605077,华康股份,38.56,62.92亿,0.315,27.91亿,4.25亿,23.66亿,-51.32,-2.63,3.29亿,5699.97万,5142.63万,5.33,8195,30.59,,
002852,道道全,13.16,38.03亿,0.300,35.25亿,15.56亿,19.69亿,95.31,33.98,12.99亿,9330.23万,8163.05万,4.38,2.02万,11.65,1.197,0.731
300892,品渥食品,38.09,38.09亿,0.300,14.10亿,3.05亿,11.05亿,23.11,15.95,3.18亿,4196.30万,3003.51万,2.77,2.18万,31.70,4.109,3.310
300999,金龙鱼,72.58,3935亿,0.290,1794.45亿,901.33亿,893.12亿,29.12,27.97,510.82亿,28.06亿,15.70亿,1.86,27.97万,62.65,1.355,0.895
605089,味知香,69.10,69.10亿,0.285,4.62亿,4189.55万,4.20亿,38.94,30.77,1.63亿,2981.36万,2851.01万,-,4.29万,60.59,,
